Round,CH1,CH2,CH3,CH4,BG78,BG79,Simulation
1,RED_0x6,GREEN_0x4,CYAN_0x3,WHITE75_0x1,0x46,0x13,PASS
2,WHITE75_0x1,RED_0x6,GREEN_0x4,CYAN_0x3,0x61,0x34,PASS
3,CYAN_0x3,WHITE75_0x1,RED_0x6,GREEN_0x4,0x13,0x46,PASS
4,GREEN_0x4,CYAN_0x3,WHITE75_0x1,RED_0x6,0x34,0x61,PASS
