"IMAGE_ROLE","NORMALIZED_DOMAIN","EXACT_CLOCK_OBJECTS","CLOCK_MEMBERSHIP_COUNT","UNIQUE_REGISTER_CELL_COUNT","CROSS_DOMAIN_SHARED_CELL_COUNT","COUNT_METHOD","POWER_INTERPRETATION","SOURCE_FILES"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","idelay_mmcm_feedback_unbuf;idelay_refclk_unbuf;nvp_vclk1","1742","1742","2","ALL_REGISTERS_CLOCK_CELL_MEMBERSHIP_DEDUPLICATED_WITHIN_DOMAIN","NOT_POWER","CLOCK_REGISTER_INVENTORY_RAW.csv;CLOCK_REGISTER_MEMBERSHIP_RAW.csv"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","clk_125mhz;clk_250mhz;mmcm_fb;pcie_refclk_100;txoutclk_x0y0","440","440","1","ALL_REGISTERS_CLOCK_CELL_MEMBERSHIP_DEDUPLICATED_WITHIN_DOMAIN","NOT_POWER","CLOCK_REGISTER_INVENTORY_RAW.csv;CLOCK_REGISTER_MEMBERSHIP_RAW.csv"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","userclk1","15119","15119","3","ALL_REGISTERS_CLOCK_CELL_MEMBERSHIP_DEDUPLICATED_WITHIN_DOMAIN","NOT_POWER","CLOCK_REGISTER_INVENTORY_RAW.csv;CLOCK_REGISTER_MEMBERSHIP_RAW.csv"
"RCA_PASS_CONTROL","NVP_VIDEO","nvp_vclk1","1735","1735","2","ALL_REGISTERS_CLOCK_CELL_MEMBERSHIP_DEDUPLICATED_WITHIN_DOMAIN","NOT_POWER","CLOCK_REGISTER_INVENTORY_RAW.csv;CLOCK_REGISTER_MEMBERSHIP_RAW.csv"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","clk_125mhz;clk_250mhz;mmcm_fb;sys_clk;txoutclk_x0y0","440","440","1","ALL_REGISTERS_CLOCK_CELL_MEMBERSHIP_DEDUPLICATED_WITHIN_DOMAIN","NOT_POWER","CLOCK_REGISTER_INVENTORY_RAW.csv;CLOCK_REGISTER_MEMBERSHIP_RAW.csv"
"RCA_PASS_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","userclk1","2207","2207","3","ALL_REGISTERS_CLOCK_CELL_MEMBERSHIP_DEDUPLICATED_WITHIN_DOMAIN","NOT_POWER","CLOCK_REGISTER_INVENTORY_RAW.csv;CLOCK_REGISTER_MEMBERSHIP_RAW.csv"
