"IMAGE_ROLE","NORMALIZED_DOMAIN","DISPLAYED_EXACT_SUM_W","SUBTHRESHOLD_ROW_COUNT","LOWER_BOUND_W","UPPER_BOUND_EXCLUSIVE_W","DISPLAY_EXPRESSION","SUM_METHOD","REPORT_RESOLUTION_W"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","0.007000","2","0.007000","0.009000","0.007 + 2*<0.001","DEPTH_ZERO_ROWS_ONLY_NO_PARENT_CHILD_DOUBLE_COUNT","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","0.004000","4","0.004000","0.008000","0.004 + 4*<0.001","DEPTH_ZERO_ROWS_ONLY_NO_PARENT_CHILD_DOUBLE_COUNT","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","0.030000","0","0.030000","0.030000","0.030","DEPTH_ZERO_ROWS_ONLY_NO_PARENT_CHILD_DOUBLE_COUNT","0.001000"
"RCA_PASS_CONTROL","NVP_VIDEO","0.008000","0","0.008000","0.008000","0.008","DEPTH_ZERO_ROWS_ONLY_NO_PARENT_CHILD_DOUBLE_COUNT","0.001000"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","0.004000","4","0.004000","0.008000","0.004 + 4*<0.001","DEPTH_ZERO_ROWS_ONLY_NO_PARENT_CHILD_DOUBLE_COUNT","0.001000"
"RCA_PASS_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","0.004000","0","0.004000","0.004000","0.004","DEPTH_ZERO_ROWS_ONLY_NO_PARENT_CHILD_DOUBLE_COUNT","0.001000"
