"IMAGE_ROLE","HIERARCHY_PATH","RAW_NAME","DEPTH","TOTAL_DYNAMIC_POWER_W","CLOCK_W","IO_W","SIGNAL_W","LOGIC_W","BRAM_W","CLOCK_IP_W","GT_W","PCIE_W","OTHER_REPORTED_CATEGORIES","POWER_VALUE_W","POWER_LOWER_BOUND_W","POWER_UPPER_BOUND_EXCLUSIVE_W","REPORT_RESOLUTION_W","SOURCE_TABLE","SOURCE_FILE","SOURCE_LINE"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma","ahd_capture_top_xdma","0","0.552","0.044","0.031","0.029","0.022","0.028","0.224","0.149","0.025","","0.552000","0.552000","0.552000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","168"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/AXI_LITE_HOST_BRIDGE","AXI_LITE_HOST_BRIDGE","1","0.002","<0.001","0.000","<0.001","0.001","0.000","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","169"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/CAPTURE_SUBSYSTEM","CAPTURE_SUBSYSTEM","1","0.019","0.008","0.000","0.006","0.003","0.002","0.000","0.000","0.000","","0.019000","0.019000","0.019000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","170"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/CAPTURE_SUBSYSTEM/BAR_TARGET","BAR_TARGET","2","0.006","<0.001","0.000","0.002","0.001","0.002","0.000","0.000","0.000","","0.006000","0.006000","0.006000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","171"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/CAPTURE_SUBSYSTEM/MAILBOX","MAILBOX","2","0.004","0.002","0.000","0.002","<0.001","0.000","0.000","0.000","0.000","","0.004000","0.004000","0.004000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","172"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/CAPTURE_SUBSYSTEM/PRODUCER","PRODUCER","2","0.007","0.004","0.000","0.001","0.001","0.000","0.000","0.000","0.000","","0.007000","0.007000","0.007000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","173"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/NVP_AUTOINIT","NVP_AUTOINIT","1","0.002","0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","174"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/NVP_AUTOINIT/u_sequence","u_sequence","2","0.002","0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","175"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/NVP_PHYSICAL_FRONTEND","NVP_PHYSICAL_FRONTEND","1","0.149","0.002","0.031","<0.001","<0.001","0.000","0.117","0.000","0.000","","0.149000","0.149000","0.149000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","176"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA","XDMA","1","0.377","0.031","0.000","0.022","0.017","0.026","0.107","0.149","0.025","","0.377000","0.377000","0.377000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","177"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst","inst","2","0.377","0.031","0.000","0.022","0.017","0.026","0.107","0.149","0.025","","0.377000","0.377000","0.377000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","178"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top","ram_top","3","0.007","<0.001","0.000","<0.001","0.000","0.007","0.000","0.000","0.000","","0.007000","0.007000","0.007000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","179"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top/C2H_PCIE_DSC_CPLD_RAM","C2H_PCIE_DSC_CPLD_RAM","4","0.003","<0.001","0.000","<0.001","0.000","0.003","0.000","0.000","0.000","","0.003000","0.003000","0.003000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","180"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top/MASTER_READ_BRAM","MASTER_READ_BRAM","4","0.002","<0.001","0.000","<0.001","0.000","0.002","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","181"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top/MASTER_READ_BRAM/xpm_memory_sdpram_inst_loop[0].xpm_memory_sdpram_inst","xpm_memory_sdpram_inst_loop[0].xpm_memory_sdpram_inst","5","0.002","<0.001","0.000","<0.001","0.000","0.002","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","182"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top/MASTER_READ_BRAM/xpm_memory_sdpram_inst_loop[0].xpm_memory_sdpram_inst/xpm_memory_base_inst","xpm_memory_base_inst","6","0.002","<0.001","0.000","<0.001","0.000","0.002","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","183"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top/mas_bridge_ram_write_512.MASTER_WRITE_FIFO","mas_bridge_ram_write_512.MASTER_WRITE_FIFO","4","0.002","<0.001","0.000","<0.001","0.000","0.002","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","184"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top/mas_bridge_ram_write_512.MASTER_WRITE_FIFO/xpm_memory_sdpram_inst_loop[0].xpm_memory_sdpram_inst","xpm_memory_sdpram_inst_loop[0].xpm_memory_sdpram_inst","5","0.002","<0.001","0.000","<0.001","0.000","0.002","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","185"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/ram_top/mas_bridge_ram_write_512.MASTER_WRITE_FIFO/xpm_memory_sdpram_inst_loop[0].xpm_memory_sdpram_inst/xpm_memory_base_inst","xpm_memory_base_inst","6","0.002","<0.001","0.000","<0.001","0.000","0.002","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","186"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper","udma_wrapper","3","0.064","0.022","0.000","0.017","0.015","0.009","0.000","0.000","0.000","","0.064000","0.064000","0.064000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","187"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top","dma_top","4","0.064","0.022","0.000","0.017","0.015","0.009","0.000","0.000","0.000","","0.064000","0.064000","0.064000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","188"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/axi4mm_bridge_top_inst","axi4mm_bridge_top_inst","5","0.004","0.002","0.000","0.001","0.001","0.000","0.000","0.000","0.000","","0.004000","0.004000","0.004000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","189"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/axi4mm_bridge_top_inst/axi4mm_axi_mm_master_top_inst","axi4mm_axi_mm_master_top_inst","6","0.004","0.002","0.000","0.001","<0.001","0.000","0.000","0.000","0.000","","0.004000","0.004000","0.004000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","190"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/axi4mm_bridge_top_inst/axi4mm_axi_mm_master_top_inst/axi4mm_axi_mm_master_rd","axi4mm_axi_mm_master_rd","7","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","191"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/axi4mm_bridge_top_inst/axi4mm_axi_mm_master_top_inst/axi4mm_axi_mm_master_wr_inst","axi4mm_axi_mm_master_wr_inst","7","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","192"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/axi4mm_bridge_top_inst/axi4mm_axi_mm_master_top_inst/axi4mm_axi_str_masterbr_rdtlp_inst","axi4mm_axi_str_masterbr_rdtlp_inst","7","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","193"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/base","base","5","0.006","0.003","0.000","<0.001","<0.001","0.002","0.000","0.000","0.000","","0.006000","0.006000","0.006000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","194"
