"IMAGE_ROLE","PORT","PACKAGE_PIN","DIRECTION","IOSTANDARD","DRIVE","SLEW","PULLTYPE","INPUT_OUTPUT_BIDIR","IO_BANK","CLOCK_ASSOCIATION","HIERARCHICAL_FUNCTIONAL_CATEGORY","SOURCE_FILE","SOURCE_LINE"
"FORMAL_PHASE2_FAIL_CONTROL","nvp_rst","R17","OUTPUT","LVCMOS33","12","SLOW","","OUTPUT","14","SOURCE_SEMANTIC_USERCLK1_62.5_MHZ_NVP_AUTOINIT_OR_SYNCHRONIZED_OBSERVER","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_IO.rpt","306"
"FORMAL_PHASE2_FAIL_CONTROL","nvp_scl","T17","BIDIR","LVCMOS33","12","SLOW","","BIDIR","14","SOURCE_SEMANTIC_USERCLK1_62.5_MHZ_NVP_AUTOINIT_OR_SYNCHRONIZED_OBSERVER","NVP_I2C","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_IO.rpt","324"
"FORMAL_PHASE2_FAIL_CONTROL","nvp_sda","T18","BIDIR","LVCMOS33","12","SLOW","","BIDIR","14","SOURCE_SEMANTIC_USERCLK1_62.5_MHZ_NVP_AUTOINIT_OR_SYNCHRONIZED_OBSERVER","NVP_I2C","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_IO.rpt","325"
"FORMAL_PHASE2_FAIL_CONTROL","nvp_mpp[2]","U16","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_IO.rpt","341"
"FORMAL_PHASE2_FAIL_CONTROL","nvp_mpp[3]","U17","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_IO.rpt","342"
"FORMAL_PHASE2_FAIL_CONTROL","nvp_mpp[0]","V16","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_IO.rpt","359"
"FORMAL_PHASE2_FAIL_CONTROL","nvp_mpp[1]","V17","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_IO.rpt","360"
"RCA_PASS_CONTROL","nvp_rst","R17","OUTPUT","LVCMOS33","12","SLOW","","OUTPUT","14","SOURCE_SEMANTIC_USERCLK1_62.5_MHZ_NVP_AUTOINIT_OR_SYNCHRONIZED_OBSERVER","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_IO.rpt","306"
"RCA_PASS_CONTROL","nvp_scl","T17","BIDIR","LVCMOS33","12","SLOW","","BIDIR","14","SOURCE_SEMANTIC_USERCLK1_62.5_MHZ_NVP_AUTOINIT_OR_SYNCHRONIZED_OBSERVER","NVP_I2C","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_IO.rpt","324"
"RCA_PASS_CONTROL","nvp_sda","T18","BIDIR","LVCMOS33","12","SLOW","","BIDIR","14","SOURCE_SEMANTIC_USERCLK1_62.5_MHZ_NVP_AUTOINIT_OR_SYNCHRONIZED_OBSERVER","NVP_I2C","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_IO.rpt","325"
"RCA_PASS_CONTROL","nvp_mpp[2]","U16","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_IO.rpt","341"
"RCA_PASS_CONTROL","nvp_mpp[3]","U17","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_IO.rpt","342"
"RCA_PASS_CONTROL","nvp_mpp[0]","V16","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_IO.rpt","359"
"RCA_PASS_CONTROL","nvp_mpp[1]","V17","INPUT","LVCMOS33","","","","INPUT","14","NO_CLOCKED_CONSUMER_PROVEN_SOURCE_SEMANTIC_CONTEXT","NVP_CONTROL_STATUS","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_IO.rpt","360"
