"NORMALIZED_DOMAIN","RC_A_VALUE","PHASE2_VALUE","DELTA_PHASE2_MINUS_RCA","DELTA_LOWER_BOUND_W","DELTA_UPPER_BOUND_EXCLUSIVE_W","ABS_DELTA","PERCENT_DELTA_VS_RCA","REPORT_RESOLUTION","METHOD","CONFIDENCE","INTERPRETATION_ELIGIBLE","MODEL_CLASSIFICATION"
"NVP_VIDEO","0.008000","0.007000","-0.001000","-0.001000","0.001000","0.000000","-12.50","0.001000","DEPTH_ZERO_CLOCK_ROOT_INTERVAL_SUM","LOW_VECTORLESS_OVERALL_CLOCK_ACTIVITY_HIGH","YES_WITH_INTERVALS","INTERVAL_REVIEW_REQUIRED"
"PCIE_REFERENCE_OR_GT_CLOCKING","0.004000","0.004000","0.000000","-0.004000","0.004000","0.000000","0.00","0.001000","DEPTH_ZERO_CLOCK_ROOT_INTERVAL_SUM","LOW_VECTORLESS_OVERALL_CLOCK_ACTIVITY_HIGH","YES_WITH_INTERVALS","INTERVAL_REVIEW_REQUIRED"
"PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","0.004000","0.030000","0.026000","0.026000","0.026000","0.026000","650.00","0.001000","DEPTH_ZERO_CLOCK_ROOT_INTERVAL_SUM","LOW_VECTORLESS_OVERALL_CLOCK_ACTIVITY_HIGH","YES_WITH_INTERVALS","CLEAR_INCREASE_PHASE2"
