"Group_ID","Name","Command","Source_Count","Destination_Count","Runtime_s","Actual_Result","Actual_ns","Required_ns","Slack_ns","Warning_Count","Warnings","Timeout_Phase","Process_Exit_Code"
"15","RELEASE_SLOT_1_AXI_TO_SOURCE","report_bus_skew -no_detailed_paths -max_paths 1 -nworst 1 -warn_on_violation -file <GROUP_RAW_REPORT>","","","300.679","REQUIRED_BUS_SKEW_TIMEOUT","","3.000","","4","WARNING: [Runs 36-547] User Strategy 'Vivado Implementation Defaults' from file 'C:\Users\�ukasz Sudu�\AppData\Roaming/Xilinx/Vivado/2025.2/strategies/Vivado Implementation Defaults.Vivado Implementation 2025.psg' discarded because strategy with same name already parsed from 'C:/AMDDesignTools/2025.2/Vivado/strategies/VDI2025.psg' | WARNING: [filemgmt 56-128] File 'C:/FPGA/V41_G2B_EVIDENCE/v41-development-g2b-bs3-ownership-mailbox-settling-proof/G2B_BS3_CANDIDATE_OWNERSHIP_CONSTRAINTS.xdc' is already in the project and will not be added again | WARNING: [filemgmt 56-128] File 'C:/FPGA/V41_G2B_EVIDENCE/v41-development-g2b-g13a-reset-return-signoff-audit/G2B_G13A_CANDIDATE_CONSTRAINTS.xdc' is already in the project and will not be added again | WARNING: [filemgmt 56-128] File 'C:/FPGA/V41_G2B_EVIDENCE/v41-development-g2b-g14a-release-slot0-signoff-audit/G2B_G14A_CANDIDATE_CONSTRAINTS.xdc' is already in the project and will not be added again","QUERY","1"
"16","RELEASE_SLOT_2_AXI_TO_SOURCE","report_bus_skew -no_detailed_paths -max_paths 1 -nworst 1 -warn_on_violation -file <GROUP_RAW_REPORT>","","","0.000","NOT_RUN_AFTER_BLOCKER","","3.000","","0","REQUIRED_BUS_SKEW_TIMEOUT:GROUP_15:RELEASE_SLOT_1_AXI_TO_SOURCE","NOT_RUN","NONE"
"17","RELEASE_SLOT_3_AXI_TO_SOURCE","report_bus_skew -no_detailed_paths -max_paths 1 -nworst 1 -warn_on_violation -file <GROUP_RAW_REPORT>","","","0.000","NOT_RUN_AFTER_BLOCKER","","3.000","","0","REQUIRED_BUS_SKEW_TIMEOUT:GROUP_15:RELEASE_SLOT_1_AXI_TO_SOURCE","NOT_RUN","NONE"
