Family,Constraint_Type,Required_ns,Worst_Actual_ns,Slack_ns,Result,Runtime_s,Notes
RELEASE_SLOT0_NORMAL_STATE_TRANSITION,MAX_DELAY_DATAPATH_ONLY,6.000,5.467,0.563,PASS,69.444,"56 sources; 3 destinations; fresh routed-DCP result"
RELEASE_SLOT0_MISMATCH_CONTAINMENT,MAX_DELAY_DATAPATH_ONLY,6.000,5.554,0.478,PASS,0.154,"56 sources; 4 destinations; fresh routed-DCP result"
RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,MAX_DELAY_DATAPATH_ONLY,6.000,4.191,1.839,PASS,0.171,"56 sources; 3 destinations; fresh routed-DCP result"
