sample,utc,target,device,part,idcode,done
0,2026-09-06T20:50:19Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
1,2026-09-06T20:50:20Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
2,2026-09-06T20:50:21Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
3,2026-09-06T20:50:22Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
4,2026-09-06T20:50:23Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
