sample,utc,target,device,part,idcode,done
0,2026-09-06T20:34:49Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
1,2026-09-06T20:34:50Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
2,2026-09-06T20:34:51Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
3,2026-09-06T20:34:52Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
4,2026-09-06T20:34:52Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
