Timestamp,Session,Node,BDF,Offset,Value,Purpose,Authorized,Precondition,Result
1788727653704615711,T3,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000004,RESET_STREAM_STATE,YES,DISABLED_NO_READER_NOT_RESET_BUSY,INTENT
1788727653725606165,T3,/dev/xdma0_user,0000:01:00.0,0x3844,0x00000001,COHERENT_SNAPSHOT,YES,PRE_CAPTURE,INTENT
1788727653800514826,T3,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000001,ENABLE_C2H,YES,RESET_EPOCH_SNAPSHOT_PASS_READER_READY,INTENT
1788727653804578789,T3,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000,NORMAL_DISABLE,YES,FIRST_COMPLETE_4096_BYTE_RECORD_ASSEMBLED,INTENT
