Channel,Availability,AvailabilityClasses,Captures,BGDCOLColorsCaptured,BGDCOLPixelPath,VBITailFingerprint,OrderDependence
CH1,BT656_AVAILABLE_4_OF_4,BT656_READY_PRE_RESET_AND_POST_RESET;BT656_READY_PRE_RESET_AND_POST_RESET;BT656_READY_PRE_RESET_AND_POST_RESET;BT656_READY_PRE_RESET_AND_POST_RESET,4,4,PROVEN_MULTI_COLOR,STABLE_ROUTE_TAIL_21,NONE_OBSERVED
CH2,CLOCK_PRESENT_NO_SAV_4_OF_4,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET;CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET;CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET;CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,0,0,NOT_TESTED_NO_BT656,NOT_CAPTURED_NO_BT656,NONE_OBSERVED
CH3,BT656_AVAILABLE_4_OF_4,BT656_READY_PRE_RESET_AND_POST_RESET;BT656_READY_PRE_RESET_AND_POST_RESET;BT656_READY_PRE_RESET_AND_POST_RESET;BT656_READY_PRE_RESET_AND_POST_RESET,4,4,PROVEN_MULTI_COLOR,STABLE_ROUTE_TAIL_1,NONE_OBSERVED
CH4,CLOCK_PRESENT_NO_SAV_4_OF_4,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET;CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET;CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET;CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,0,0,NOT_TESTED_NO_BT656,NOT_CAPTURED_NO_BT656,NONE_OBSERVED
