Channel,Availability,Captures,BoundaryCount,Fingerprint,MinimumTailIntervals,MaximumTailIntervals,ModeTailIntervals,CaptureSequenceDeltas,BoundedContract
CH1,BT656_AVAILABLE_4_OF_4,4,9,STABLE_ROUTE_TAIL_21,21,21,21,22;22;22;22;22;22;22;22;22,PASS
CH2,CLOCK_PRESENT_NO_SAV_4_OF_4,0,0,NOT_CAPTURED_NO_BT656,,,,,PASS
CH3,BT656_AVAILABLE_4_OF_4,4,10,STABLE_ROUTE_TAIL_1,1,1,1,2;2;2;2;2;2;2;2;2;2,PASS
CH4,CLOCK_PRESENT_NO_SAV_4_OF_4,0,0,NOT_CAPTURED_NO_BT656,,,,,PASS
