relative_path,expected_size,actual_size,expected_sha256,actual_sha256,regular_file,result
V41_C2H_TRANSPORT_ABI_V1.json,34679,34679,AACB8F32CE3807C0A1DACD644FFFA90D214AA599F0798A700576987924E0D2B6,AACB8F32CE3807C0A1DACD644FFFA90D214AA599F0798A700576987924E0D2B6,YES,PASS
V41_NVP_DIAG_ROUTE_SPECIFIC_VBI_TAIL_CONTRACT_V1.json,562,562,B9F88485DB38CE03EB05296E9CD3A136FCEE24D850C41B3D3A0DAABFAA72A36B,B9F88485DB38CE03EB05296E9CD3A136FCEE24D850C41B3D3A0DAABFAA72A36B,YES,PASS
abi_v1.py,30488,30488,2939FC522A2D9679BB720F287AC022FC48FF042CE06E20877F8E686F35909F1E,2939FC522A2D9679BB720F287AC022FC48FF042CE06E20877F8E686F35909F1E,YES,PASS
abi_v1_r3r2.py,30847,30847,B40345CED07ADFAD5E41D2C9CDAE3A3CF0FC016B3C9F4895552CEBBA60C6C7CA,B40345CED07ADFAD5E41D2C9CDAE3A3CF0FC016B3C9F4895552CEBBA60C6C7CA,YES,PASS
aggregate_nvp_session_metadata.py,27716,27716,48344A2CAE759C26094A7C26D9A5645362A6172581201D3C64FB83EADCAC0280,48344A2CAE759C26094A7C26D9A5645362A6172581201D3C64FB83EADCAC0280,YES,PASS
analyze_nvp_video_diag1.py,11305,11305,157E500E98907DDA0E58F783A40868DA39FB5E9C1343BDF4EA3F6F6E1B6D0686,157E500E98907DDA0E58F783A40868DA39FB5E9C1343BDF4EA3F6F6E1B6D0686,YES,PASS
availability_classifier_r3r2.py,6857,6857,87BE163DE189C95E7789BF15025F836E6E9012EFAD58973C8EE40FFE4D8E9E0A,87BE163DE189C95E7789BF15025F836E6E9012EFAD58973C8EE40FFE4D8E9E0A,YES,PASS
bin/xdma_c2h_rolling_4k_diag1,38248,38248,FE50853C600098836548CF6C198012566A80E1C43A46F452B8B2965F806C5D52,FE50853C600098836548CF6C198012566A80E1C43A46F452B8B2965F806C5D52,YES,PASS
build_native_helper_r3r2r1.sh,436,436,BCA0D4419710CE47F776B987C884F368D446B4AE76C799C2C43542843B02B114,BCA0D4419710CE47F776B987C884F368D446B4AE76C799C2C43542843B02B114,YES,PASS
controller_nvp_capture_r3r2.py,50840,50840,7AC6B0028DBC0B0BC89E464897994531CDB3E188D7C300170B0577C57DF33D88,7AC6B0028DBC0B0BC89E464897994531CDB3E188D7C300170B0577C57DF33D88,YES,PASS
controller_nvp_video_diag1_r3r1.py,100556,100556,2E3409E6E50A64F3D2C8745B5035BFE458DAAF42B3AFC9F40E23BFEF81226F99,2E3409E6E50A64F3D2C8745B5035BFE458DAAF42B3AFC9F40E23BFEF81226F99,YES,PASS
controller_nvp_video_diag1_r3r2.py,105756,105756,1FBB936167F23CC161DB7CB9C2CE54E11FDCC5FF197F7D6015A15DAD0FB52163,1FBB936167F23CC161DB7CB9C2CE54E11FDCC5FF197F7D6015A15DAD0FB52163,YES,PASS
fixtures/retained-ch3-validation-result.json,3576,3576,55C1313F23A61A27E6439951FD2127F856AB54C6CF04BB6431E10705ADBAC996,55C1313F23A61A27E6439951FD2127F856AB54C6CF04BB6431E10705ADBAC996,YES,PASS
frame_reconstruct_nvp_capture.py,7039,7039,C394C7A212FCE1EC5686878016F887DF02A68C209994A4A2A4681B54FDA89AEF,C394C7A212FCE1EC5686878016F887DF02A68C209994A4A2A4681B54FDA89AEF,YES,PASS
generate_r3r2_synthetic_primary.py,2189,2189,97C97FA683546725C6F1B8A555214E9B9143A085C55D27FAFBC41DBA290385B1,97C97FA683546725C6F1B8A555214E9B9143A085C55D27FAFBC41DBA290385B1,YES,PASS
isolated_bundle_gate_r3r2r1.py,13898,13898,2FBBAEA591AE8FDB8399B9F9524DEF5B04D97CD14497BF47C45AF4280A6BB02D,2FBBAEA591AE8FDB8399B9F9524DEF5B04D97CD14497BF47C45AF4280A6BB02D,YES,PASS
r3r2_final_cleanup.py,6100,6100,C87EE6584516A8AB75B14CE4D2CD26131DAF35F11EEC5C9B880272451EB53217,C87EE6584516A8AB75B14CE4D2CD26131DAF35F11EEC5C9B880272451EB53217,YES,PASS
r3r2_mmio_sanity.py,10546,10546,552E86AF261EDEB34BDBD81CFB2718D83FBA1977417D0DA340D20B1881388792,552E86AF261EDEB34BDBD81CFB2718D83FBA1977417D0DA340D20B1881388792,YES,PASS
test_closed_bundle_r3r2r1.py,4746,4746,CBAAE4C4602A6384F00D11E5D33E1FB6722C66C6C0DCF0F225B24D2B2EBDEA0E,CBAAE4C4602A6384F00D11E5D33E1FB6722C66C6C0DCF0F225B24D2B2EBDEA0E,YES,PASS
test_r3r2_host_controllers.py,7875,7875,89D2DD8F5DF5058155B0C57AEE28F175D8589DBE4745C48F5EABB0A2CCF4CDD1,89D2DD8F5DF5058155B0C57AEE28F175D8589DBE4745C48F5EABB0A2CCF4CDD1,YES,PASS
test_r3r2_validator.py,8075,8075,B1F78CC3477391C5A1D5FFFCFFDA1D1E7DD014C9B6EF8BE885102A34DBE29A89,B1F78CC3477391C5A1D5FFFCFFDA1D1E7DD014C9B6EF8BE885102A34DBE29A89,YES,PASS
validate_nvp_capture_r3r2.py,30082,30082,CBAEFF14DACA8237F52683743FA1BD4389E359EBD26B4034243310CE067B2D3D,CBAEFF14DACA8237F52683743FA1BD4389E359EBD26B4034243310CE067B2D3D,YES,PASS
vbi_tail_contract_r3r2.py,4896,4896,A77824073D926989B1BF40273480E5E3584905C0869E3D799E7B737DAA24804F,A77824073D926989B1BF40273480E5E3584905C0869E3D799E7B737DAA24804F,YES,PASS
verify_dut_bundle_r3r2r1.py,3986,3986,ED74E2F656C2544E79E0812CCE2B71331EE3E51E76C143B9034D9A6957D49AE1,ED74E2F656C2544E79E0812CCE2B71331EE3E51E76C143B9034D9A6957D49AE1,YES,PASS
xdma_c2h_rolling_4k_diag1.c,44324,44324,D0E82EE590C4140892B8562602F0C7DA9F681D9990AF6D2228404BCAF9553EC5,D0E82EE590C4140892B8562602F0C7DA9F681D9990AF6D2228404BCAF9553EC5,YES,PASS
