SessionID,Round,Channel,AssignedColor,StatusClass,FrameSHA256,PNG_SHA256,PixelClassification,DominantUYVY,DominantFraction,ExactBlackFraction,UniqueUYVYWords,UniqueYValues,UniqueUValues,UniqueVValues,YMin,YMax,YMean,YStdDev,UMean,UVariance,VMean,VVariance,UniqueScanlineHashes,LongestIdenticalScanlineRun,HorizontalEdgeEnergy,VerticalEdgeEnergy,AssignedColorPixelMatch
1,1,1,RED,NO_VIDEO_STABLE,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446,UNIFORM_BGDCOL_RED,6441D441,1.0,0.0,1,1,1,1,65,65,65.0,0.0,100.0,0.0,212.0,0.0,1,1080,0.0,0.0,True
3,1,3,CYAN,NO_VIDEO_STABLE,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,UNIFORM_BGDCOL_CYAN,9C832C83,1.0,0.0,1,1,1,1,131,131,131.0,0.0,156.0,0.0,44.0,0.0,1,1080,0.0,0.0,True
6,2,3,GREEN,NO_VIDEO_STABLE,A015B60BF9C853409F46A711ECC2DD079AD77DA2B15827FC9DF5446848FD4093,D973ABBE73321D2D404FA00F35EC23EBB9405E1E4DD4D8FB60328D677C0C0F18,UNIFORM_BGDCOL_GREEN,48703A70,1.0,0.0,1,1,1,1,112,112,112.0,0.0,72.0,0.0,58.0,0.0,1,1080,0.0,0.0,True
8,2,1,WHITE_75_PERCENT,NO_VIDEO_STABLE,DA3CD12CCE4819F1C960587EA469753077DF59712F8C79BC6F83B5D1A4CDF80D,E5E4EEE2439C34A492019C1E1920EFA2E49CCF7F0A565CF51CC61FE5C6DEF298,UNIFORM_BGDCOL_WHITE,80B480B4,1.0,0.0,1,1,1,1,180,180,180.0,0.0,128.0,0.0,128.0,0.0,1,1080,0.0,0.0,True
10,3,3,RED,NO_VIDEO_STABLE,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446,UNIFORM_BGDCOL_RED,6441D441,1.0,0.0,1,1,1,1,65,65,65.0,0.0,100.0,0.0,212.0,0.0,1,1080,0.0,0.0,True
12,3,1,CYAN,NO_VIDEO_STABLE,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,UNIFORM_BGDCOL_CYAN,9C832C83,1.0,0.0,1,1,1,1,131,131,131.0,0.0,156.0,0.0,44.0,0.0,1,1080,0.0,0.0,True
13,4,3,WHITE_75_PERCENT,NO_VIDEO_STABLE,DA3CD12CCE4819F1C960587EA469753077DF59712F8C79BC6F83B5D1A4CDF80D,E5E4EEE2439C34A492019C1E1920EFA2E49CCF7F0A565CF51CC61FE5C6DEF298,UNIFORM_BGDCOL_WHITE,80B480B4,1.0,0.0,1,1,1,1,180,180,180.0,0.0,128.0,0.0,128.0,0.0,1,1080,0.0,0.0,True
15,4,1,GREEN,NO_VIDEO_STABLE,A015B60BF9C853409F46A711ECC2DD079AD77DA2B15827FC9DF5446848FD4093,D973ABBE73321D2D404FA00F35EC23EBB9405E1E4DD4D8FB60328D677C0C0F18,UNIFORM_BGDCOL_GREEN,48703A70,1.0,0.0,1,1,1,1,112,112,112.0,0.0,72.0,0.0,58.0,0.0,1,1080,0.0,0.0,True
