SessionID,Channel,AssignedColor,CapturedClassification,DominantUYVY,DominantFraction,PixelMatch,Result
1,1,RED,UNIFORM_BGDCOL_RED,6441D441,1.0,True,PASS
3,3,CYAN,UNIFORM_BGDCOL_CYAN,9C832C83,1.0,True,PASS
6,3,GREEN,UNIFORM_BGDCOL_GREEN,48703A70,1.0,True,PASS
8,1,WHITE_75_PERCENT,UNIFORM_BGDCOL_WHITE,80B480B4,1.0,True,PASS
10,3,RED,UNIFORM_BGDCOL_RED,6441D441,1.0,True,PASS
12,1,CYAN,UNIFORM_BGDCOL_CYAN,9C832C83,1.0,True,PASS
13,3,WHITE_75_PERCENT,UNIFORM_BGDCOL_WHITE,80B480B4,1.0,True,PASS
15,1,GREEN,UNIFORM_BGDCOL_GREEN,48703A70,1.0,True,PASS
