SessionID,Round,Channel,PreviousRecordIndex,Line0RecordIndex,PreviousFrame,Line0Frame,Line0Line,Line0Flags,Line1Follows,Line1Flags,CaptureSequenceDelta,MinimumLegalCaptureSequenceDelta,MaximumLegalCaptureSequenceDelta,TailIntervals,AttemptSequenceDelta,GlobalSequenceDelta,MalformedDelta,DroppedDelta,Failures,Result
1,1,1,997,998,887453,887454,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
1,1,1,2077,2078,887454,887455,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
3,1,3,170,171,887551,887552,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
3,1,3,1250,1251,887552,887553,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
3,1,3,2330,2331,887553,887554,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
6,2,3,542,543,887651,887652,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
6,2,3,1622,1623,887652,887653,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
8,2,1,223,224,887749,887750,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
8,2,1,1303,1304,887750,887751,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
8,2,1,2383,2384,887751,887752,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
10,3,3,803,804,887848,887849,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
10,3,3,1883,1884,887849,887850,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
12,3,1,383,384,887946,887947,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
12,3,1,1463,1464,887947,887948,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
13,4,3,206,207,888045,888046,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
13,4,3,1286,1287,888046,888047,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
13,4,3,2366,2367,888047,888048,0,0x00000021,True,0x00000020,2,1,22,1,1,1,0,0,,PASS
15,4,1,718,719,888143,888144,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
15,4,1,1798,1799,888144,888145,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
