SessionID,Round,Channel,AssignedColor,FrameSHA256,PNG_SHA256,Classification
1,1,1,RED,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446,UNIFORM_BGDCOL_RED
3,1,3,CYAN,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,UNIFORM_BGDCOL_CYAN
6,2,3,GREEN,A015B60BF9C853409F46A711ECC2DD079AD77DA2B15827FC9DF5446848FD4093,D973ABBE73321D2D404FA00F35EC23EBB9405E1E4DD4D8FB60328D677C0C0F18,UNIFORM_BGDCOL_GREEN
8,2,1,WHITE_75_PERCENT,DA3CD12CCE4819F1C960587EA469753077DF59712F8C79BC6F83B5D1A4CDF80D,E5E4EEE2439C34A492019C1E1920EFA2E49CCF7F0A565CF51CC61FE5C6DEF298,UNIFORM_BGDCOL_WHITE
10,3,3,RED,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446,UNIFORM_BGDCOL_RED
12,3,1,CYAN,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,UNIFORM_BGDCOL_CYAN
13,4,3,WHITE_75_PERCENT,DA3CD12CCE4819F1C960587EA469753077DF59712F8C79BC6F83B5D1A4CDF80D,E5E4EEE2439C34A492019C1E1920EFA2E49CCF7F0A565CF51CC61FE5C6DEF298,UNIFORM_BGDCOL_WHITE
15,4,1,GREEN,A015B60BF9C853409F46A711ECC2DD079AD77DA2B15827FC9DF5446848FD4093,D973ABBE73321D2D404FA00F35EC23EBB9405E1E4DD4D8FB60328D677C0C0F18,UNIFORM_BGDCOL_GREEN
