Bank,Register,FinalValue,KnownMask,FinalFieldClass,LastTraceStep,Layer,Authority,Note
0x00,0x83,0x03,0xFF,KNOWN_FINAL_VALUE,140,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_532,deterministic whole-byte write
0x00,0x84,0x03,0xFF,KNOWN_FINAL_VALUE,141,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_533,deterministic whole-byte write
0x00,0x85,0x00,0xFF,KNOWN_FINAL_VALUE,142,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_408,deterministic whole-byte write
0x00,0x86,0x00,0xFF,KNOWN_FINAL_VALUE,143,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_409,deterministic whole-byte write
0x00,0x87,0x00,0xFF,KNOWN_FINAL_VALUE,144,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_410,deterministic whole-byte write
0x00,0x88,0x00,0xFF,KNOWN_FINAL_VALUE,145,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_411,deterministic whole-byte write
0x00,0x89,0x10,0xFF,KNOWN_FINAL_VALUE,107,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_335,deterministic whole-byte write
0x00,0x8E,0x30,0xFF,KNOWN_FINAL_VALUE,108,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_336,deterministic whole-byte write
0x00,0x93,0x00,0xFF,KNOWN_FINAL_VALUE,15,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_243,deterministic whole-byte write
0x00,0xA0,0x18,0xFF,KNOWN_FINAL_VALUE,109,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_337,deterministic whole-byte write
0x00,0xA4,0x00,0xFF,KNOWN_FINAL_VALUE,110,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_338,deterministic whole-byte write
0x00,0xA8,RUNTIME,0x00,DYNAMIC_STATUS,POST_INIT_READBACK,CURRENT_AHD1080P25_NO_VIDEO_OBSERVATION,ACCEPTED_PRIOR_NO_VIDEO_NOT_LIVE_VERIFIED_THIS_TASK,NOVID packed status
0x00,0xB8,0x00,0xFF,KNOWN_FINAL_VALUE,191,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_463,deterministic whole-byte write
0x00,0xE0,RUNTIME,0x00,DYNAMIC_STATUS,POST_INIT_READBACK,CURRENT_AHD1080P25_NO_VIDEO_OBSERVATION,ACCEPTED_PRIOR_NO_VIDEO_NOT_LIVE_VERIFIED_THIS_TASK,AGC lock status
0x00,0xE1,RUNTIME,0x00,DYNAMIC_STATUS,POST_INIT_READBACK,CURRENT_AHD1080P25_NO_VIDEO_OBSERVATION,ACCEPTED_PRIOR_NO_VIDEO_NOT_LIVE_VERIFIED_THIS_TASK,clamp/comparator lock status
0x00,0xE2,RUNTIME,0x00,DYNAMIC_STATUS,POST_INIT_READBACK,CURRENT_AHD1080P25_NO_VIDEO_OBSERVATION,ACCEPTED_PRIOR_NO_VIDEO_NOT_LIVE_VERIFIED_THIS_TASK,horizontal lock status
0x00,0xE8,RUNTIME,0x00,DYNAMIC_STATUS,POST_INIT_READBACK,CURRENT_AHD1080P25_NO_VIDEO_OBSERVATION,ACCEPTED_PRIOR_NO_VIDEO_NOT_LIVE_VERIFIED_THIS_TASK,CH1 FSC/color/lock/NOVID status
0x01,0x84,0x00,0xFF,KNOWN_FINAL_VALUE,151,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_419,deterministic whole-byte write
0x01,0x85,0x01,0xFF,KNOWN_FINAL_VALUE,152,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_420,deterministic whole-byte write
0x01,0x86,0x02,0xFF,KNOWN_FINAL_VALUE,153,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_421,deterministic whole-byte write
0x01,0x87,0x03,0xFF,KNOWN_FINAL_VALUE,154,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_422,deterministic whole-byte write
0x01,0x8C,0x40,0xFF,KNOWN_FINAL_VALUE,155,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_423,deterministic whole-byte write
0x01,0x8D,0x41,0xFF,KNOWN_FINAL_VALUE,156,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_424,deterministic whole-byte write
0x01,0x8E,0x42,0xFF,KNOWN_FINAL_VALUE,157,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_425,deterministic whole-byte write
0x01,0x8F,0x43,0xFF,KNOWN_FINAL_VALUE,158,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_426,deterministic whole-byte write
0x01,0x97,0x0F,0xFF,KNOWN_FINAL_VALUE,159,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_427,deterministic whole-byte write
0x01,0x98,0x00,0xFF,KNOWN_FINAL_VALUE,160,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_428,deterministic whole-byte write
0x01,0xC2,0x00,0xFF,KNOWN_FINAL_VALUE,161,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_429,deterministic whole-byte write
0x01,0xC3,0x00,0xFF,KNOWN_FINAL_VALUE,162,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_430,deterministic whole-byte write
0x01,0xC4,0x00,0xFF,KNOWN_FINAL_VALUE,163,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_431,deterministic whole-byte write
0x01,0xC5,0x00,0xFF,KNOWN_FINAL_VALUE,164,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_432,deterministic whole-byte write
0x01,0xC8,0x00,0xFF,KNOWN_FINAL_VALUE,165,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_433,deterministic whole-byte write
0x01,0xC9,0x00,0xFF,KNOWN_FINAL_VALUE,166,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_434,deterministic whole-byte write
0x01,0xCA,0x22,0xFF,KNOWN_FINAL_VALUE,167,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_435,deterministic whole-byte write
0x01,0xCB,0x00,0xFF,KNOWN_FINAL_VALUE,168,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_436,deterministic whole-byte write
0x01,0xCD,0x4A,0xFF,KNOWN_FINAL_VALUE,169,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_437,deterministic whole-byte write
0x01,0xCE,0x46,0xFF,KNOWN_FINAL_VALUE,170,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_438,deterministic whole-byte write
0x01,0xED,0x00,0xFF,KNOWN_FINAL_VALUE,49,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_277,deterministic whole-byte write
0x02,0x02,0x03,0xFF,KNOWN_FINAL_VALUE,90,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_318,deterministic whole-byte write
0x02,0x28,0x00,0xFF,KNOWN_FINAL_VALUE,112,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_340,deterministic whole-byte write
