Bank,Register,FinalValue,KnownMask,FinalFieldClass,LastTraceStep,Layer,Authority,Note
0x09,0x97,0x00,0xFF,KNOWN_FINAL_VALUE,87,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_315,deterministic whole-byte write
0x09,0x98,0x00,0xFF,KNOWN_FINAL_VALUE,88,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_316,deterministic whole-byte write
0x09,0x99,0x00,0xFF,KNOWN_FINAL_VALUE,89,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_317,deterministic whole-byte write
0x0A,0x60,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x61,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x62,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x63,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x64,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x65,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x66,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x67,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x68,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x69,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x6A,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x6B,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x6C,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x6D,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x6E,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x6F,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x70,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x71,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x72,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x0A,0x74,0x02,0xFF,KNOWN_FINAL_VALUE,26,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_254,deterministic whole-byte write
0x11,0x00,0x00,0xFF,KNOWN_FINAL_VALUE,96,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_324,deterministic whole-byte write
