scope,reference_design_mode,candidate_design_mode,comparison_surface,reference_bytes,candidate_bytes,normalized_sha256,result_receipt_sha256,result
transaction_serial_300,XVHDL_EXPLICIT_2008,XVHDL_DEFAULT_NON_2008,7_top_level_VCD_variables,29452,29452,343DF81AD146D259205A7C29B38BF5FAC0B6E6BAAAC08680687210439AFB1FD3,C4894AAFF7D10B187BF4E1F614A3413003763E2541F73F0C1FA559308CD4AD1B,PASS_EXACT_CROSS_STANDARD_EQUIVALENCE
integrated_autoinit_matrix,XVHDL_EXPLICIT_2008,XVHDL_DEFAULT_NON_2008,67_top_level_VCD_variables,240273754,240273754,EB9EBD6D242B778766D6CB22F4469B1EB4B49780241F325F2954DCE3326E8378,B8447E63CB87371D800DF3FE473A278ADA946A60E38326D9ECA605E529945600,PASS_EXACT_CROSS_STANDARD_EQUIVALENCE
inherited_d2b_sequence,XVHDL_EXPLICIT_2008,XVHDL_DEFAULT_NON_2008,52_top_level_VCD_variables,8825939,8825939,CF83CE9B40854234651C05FCC39599022263D25D1EBC1A306AF4DA7390F1F877,0D068D8278BC401E196262FF98B7BA0252040B93C0B29F5274A382DA9FC78DEC,PASS_EXACT_CROSS_STANDARD_EQUIVALENCE
inherited_power_timing,XVHDL_EXPLICIT_2008,XVHDL_DEFAULT_NON_2008,13_top_level_VCD_variables,6062,6062,CF687CCCB338B2C71234753477BF0B3B15DBDDF6B4DAFBF6FC2134AEDC88C56C,05201CFDD23BD62E83715A8A6BF9DBF82008B7A2D4FF6CB3D47100468A275F8F,PASS_EXACT_CROSS_STANDARD_EQUIVALENCE
pre_init_R1e_reference_equivalence,XVHDL_EXPLICIT_2008,XVHDL_DEFAULT_NON_2008,internal_cycle_by_cycle_assertions_and_normalized_terminal_transcript,NA,NA,850532A5AF3C9776856253D3A3DF5C2A52CD7322F0D78A54D69D2FE6B928AE7C,05406B7FCA46B3BF4017E199F348EBD64CE15E7422376750604EC3F1E09C8B72,PASS_EXACT_CROSS_STANDARD_EQUIVALENCE
shared_component_matrix,BYTE_IDENTICAL_R1F_COMPONENTS,BYTE_IDENTICAL_R1G_COMPONENTS,11_focused_SystemVerilog_cases,NA,NA,C2851D45025156F1A7A4FE68E39EDCC32094FE95A2876C66D31A9EAE49630D43,C2851D45025156F1A7A4FE68E39EDCC32094FE95A2876C66D31A9EAE49630D43,PASS_ALL
host_and_reference_model_fixtures,BYTE_IDENTICAL_R1F_TOOLS,BYTE_IDENTICAL_R1G_TOOLS,24_unittest_cases,NA,NA,1C8EF038414DA5FE1D8E8D69A1CD07899ABE733E976BB4F0681D549A24312894,FA9694F3389431091428CB73158589D817F5DD84E9B788B209F13C7B2FAFC0A0,PASS_24_OF_24
