"sequence_index","row","position","candidate","run_id","epoch","reset_cold_start_epoch","candidate_name","bitstream_sha256","programming_result","program_receipt_sha256","independent_done","independent_done_receipt_sha256","host_transition_receipt_sha256","classification","r0_primary_run_countable","block_id","protocol","capabilities","diagnostic_magic","init_done","init_error","waddr_nack","regaddr_nack","data_nack","raddr_nack","waddr_legacy_early_would_nack","waddr_qualified_nack","waddr_early_nack_but_qualified_ack","regaddr_legacy_early_would_nack","regaddr_qualified_nack","regaddr_early_nack_but_qualified_ack","data_legacy_early_would_nack","data_qualified_nack","data_early_nack_but_qualified_ack","raddr_legacy_early_would_nack","raddr_qualified_nack","raddr_early_nack_but_qualified_ack","total_autoinit_nack","retry_count","recovered_count","retry_exhausted","scl_timeout","video_present","frame_rate_hz","first_failure_phase","boot_id","runtime_source_commit","git_sha_w0","git_sha_w1","git_sha_w2","git_sha_w3","git_sha_w4","runtime_build_flags","program_completed_utc","done_completed_utc","remote_capture_utc","capture_receipt_created_utc","capture_receipt_sha256","capture_receipt_path"
"1","1","1","C0","R2OM-R01-P1-C0","WARM","WARM","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","PASS_SAME_SESSION_DONE_1","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","1","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","2DA2525F90D48DD30BF2A63617563314825EA727CB5528D8B18091BC691FDAFF","FAIL","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","1","2","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","NO","0.000000","MULTIPLE_OR_INVALID_PHASE_BITMAP_0x6","c2764ac1-bf91-4025-bb6c-ff91c1b613ee","c4f4bfcf577c92c3021d1fe83c05878dd12e001c","0xC4F4BFCF","0x577C92C3","0x021D1FE8","0x3C05878D","0xD12E001C","0x00000002","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","2026-08-28T12:04:42.615684466Z","2026-08-28T12:04:45.8005844Z","82D3800DD852EC9EE37EA88386C17FA996426AF9B47B19E6E9182AC11A2F4178","C:\AHD_R2_OWNER_EXEC_20260828\primary\R01_C0\telemetry\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"2","1","2","C1","R2OM-R01-P2-C1","WARM","WARM","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","PASS_SAME_SESSION_DONE_1","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","1","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","2889B6EDD29F135DB71A2BDEC81B8CAFEEA5C225006942DB569D8B592CE1B94A","INCONCLUSIVE","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","25.795496","NONE","f9579d81-131a-499c-a8b7-27a0d45d943a","8b8ec0fa9c22965e46d0421c25e63d83e7971597","0x8B8EC0FA","0x9C22965E","0x46D0421C","0x25E63D83","0xE7971597","0x00000002","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING","2026-08-28T12:43:00.550135121Z","2026-08-28T12:43:03.5459181Z","70C53E2FB33CCA79A1988FF50B8394815FDE43BDD647E884F4465193FA730C7F","C:\AHD_R2_OWNER_EXEC_20260828\primary\R02_C1\telemetry\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"3","1","3","C3","R2OM-R01-P3-C3","WARM","WARM","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","PASS_SAME_SESSION_DONE_1","DB26B4402BC12322E4FC8C7DF0F391DB8FFEC9AB276E3162F8BAE2738EF74E81","1","935C6716ECBF64AA712E7CA9CD75DABE8BF957F66970660AAB0111D0E1BC8028","6EFD6F645BDF8177A55BB56063A526A8717280CB09B425FDCD25322A4CACAD86","CLEAN_PASS","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","24.799186","NONE","c75e10c6-ceef-4fea-8aa0-c1bbdf839bed","20c3323d79d3896edc586d6db1df7deee60f9e41","0x20C3323D","0x79D3896E","0xDC586D6D","0xB1DF7DEE","0xE60F9E41","0x00000002","2026-08-28T13:47:08.4235598Z","2026-08-28T13:53:55.9912831Z","2026-08-28T13:56:14.271902637Z","2026-08-28T13:56:16.7813827Z","AF8CC44448E89C65889FF017C409F6C7A7246D3DEF7FF6D47D44E3BDEF6C814B","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\003_R2OM-R01-P3-C3\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"4","1","4","C2","R2OM-R01-P4-C2","WARM","WARM","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","PASS_SAME_SESSION_DONE_1","6E53EE8F42154BD845D36C11B27DAB93CB13ECDF83B35003E15FF8070234AE64","1","B4916FD0CD01AA12EDB90A4AEABF7A2EE58911E7293AFB21DC6DEF99E03FBB67","C11B884CC88EEC2E761049160532E526389FEC9910270CC9E5F81ED4CB141DF4","CLEAN_PASS","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","24.808690","NONE","e1260e4e-7caa-455f-82e3-a8c4445c976d","e4d10bb8e85e3797d078144fd0965e9625ee727c","0xE4D10BB8","0xE85E3797","0xD078144F","0xD0965E96","0x25EE727C","0x00000002","2026-08-28T14:24:18.5401186Z","2026-08-28T14:31:04.3183281Z","2026-08-28T14:33:14.911984234Z","2026-08-28T14:33:17.5390341Z","2B89054AB633DC6E5510031B6B45A2D0DD4E55FDC37242DD87D3AC2044E6C063","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\004_R2OM-R01-P4-C2\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"5","2","1","C1","R2OM-R02-P1-C1","WARM","WARM","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","PASS_SAME_SESSION_DONE_1","A4352F0EC75E813928538AABD2700582FD182130615E3DE7EB3CF3A6DE45C873","1","E502D02810937D5F3E25D7D812B02FB5B6D2D499735A794648D0B6A02D6DF734","BA16F61DEC3F17A03C929505718880BE12AD7279F3680200B9B65D1386FD1289","INCONCLUSIVE","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","25.794836","NONE","387df384-29f4-4c09-874b-a9c8b6a18adc","8b8ec0fa9c22965e46d0421c25e63d83e7971597","0x8B8EC0FA","0x9C22965E","0x46D0421C","0x25E63D83","0xE7971597","0x00000002","2026-08-28T14:59:55.5260390Z","2026-08-28T15:05:45.9178268Z","2026-08-28T15:07:54.427864177Z","2026-08-28T15:07:56.1511569Z","B20D418E0AB1B3A5F3BEA3C9EA30D28A3B62130CE44A9C005A2ABAE0973EC06A","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\005_R2OM-R02-P1-C1\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"6","2","2","C2","R2OM-R02-P2-C2","WARM","WARM","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","PASS_SAME_SESSION_DONE_1","51616FB1C5B254720AD1534DAA33EE4FA5CDD652770579CD682D431C9AADFB11","1","F76EA9541DE70CC4BC380E005EB116D59C54B621D223E1C8522F42B93354A8C2","C71682760032F2F14B35F30F83A1589FFB9AE4FA585A08218EEA21117118B5E6","RECOVERED_PASS","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","YES","25.797844","REGADDR","0d1ddd57-2c96-416f-af29-28b311a4cdbd","e4d10bb8e85e3797d078144fd0965e9625ee727c","0xE4D10BB8","0xE85E3797","0xD078144F","0xD0965E96","0x25EE727C","0x00000002","2026-08-28T15:30:15.9062689Z","2026-08-28T15:36:40.5963694Z","2026-08-28T15:38:59.653345788Z","2026-08-28T15:39:01.2124925Z","F1FC99C5CB94BD551986B40D3834DB04089D5C0ABA4EDAE603476D6EFDF7CC05","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\006_R2OM-R02-P2-C2\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"7","2","3","C0","R2OM-R02-P3-C0","WARM","WARM","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","PASS_SAME_SESSION_DONE_1","8A73C19D41495E656BF4010EA603FBA050B146162A30341DDAE83B22B05FBCB5","1","9B40E272EC145990778913A54E233D78C4135A949B1F5552185AAAB895DEA928","16958E477EE9CD0BAB0DA588D5FB836E8CFE839B1503115D7880070F4E2AAB37","FAIL","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","1","3","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","NO","0.000000","MULTIPLE_OR_INVALID_PHASE_BITMAP_0x7","68b2be86-9c7a-4ff3-9ac2-5b2848e7808a","c4f4bfcf577c92c3021d1fe83c05878dd12e001c","0xC4F4BFCF","0x577C92C3","0x021D1FE8","0x3C05878D","0xD12E001C","0x00000002","2026-08-28T16:00:39.8862327Z","2026-08-28T16:08:25.1810637Z","2026-08-28T16:11:31.217192770Z","2026-08-28T16:11:33.1297811Z","82DF4E88B209C1B73FC85D024A1F278EF5AB2578B2546B267CD3129800C7EFCF","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\007_R2OM-R02-P3-C0\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"8","2","4","C3","R2OM-R02-P4-C3","WARM","WARM","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","PASS_SAME_SESSION_DONE_1","4B1A4859EDEDB60C9F520CD9CBE2E55B62BD994251777DC3D498E90710CFCD5E","1","947D9AF093D260A6F81E0AFC30B04889A1F5388C551749E1983CE1FB51504A2B","677984BCF8F3B416302B17832439FBBF096631E5E3B147667CA36AFE90014763","CLEAN_PASS","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","24.804729","NONE","e973858e-0bc9-4822-a857-343cd930f9a2","20c3323d79d3896edc586d6db1df7deee60f9e41","0x20C3323D","0x79D3896E","0xDC586D6D","0xB1DF7DEE","0xE60F9E41","0x00000002","2026-08-28T16:33:59.3918365Z","2026-08-28T16:39:34.8798196Z","2026-08-28T16:42:19.052471958Z","2026-08-28T16:42:20.9429013Z","51E1B316D87C0F8C5F38387F261D9D0CFB955807EB0046AB55F53D4AE258373C","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\008_R2OM-R02-P4-C3\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"9","3","1","C2","R2OM-R03-P1-C2","WARM","WARM","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","PASS_SAME_SESSION_DONE_1","E2ED6BC924CEF6FAC5057E32ED6B11228C77DAAF2888252422CA87A7D45830D8","1","4C62FEDD20C6CBFD60621728DE31B357FC1C007BDE0E20CAFE90CEB451C6B572","7F5DA6F6FD9883477841F5862365FEEB3D98BED06B374EBF03A9CDFE72C7F4C1","RECOVERED_PASS","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","2","0","0","0","0","0","2","2","0","0","0","0","0","0","0","2","2","2","0","0","YES","24.806087","REGADDR","aa4bdc08-10ce-4513-9ec5-d4907e61a362","e4d10bb8e85e3797d078144fd0965e9625ee727c","0xE4D10BB8","0xE85E3797","0xD078144F","0xD0965E96","0x25EE727C","0x00000002","2026-08-28T17:08:13.0763678Z","2026-08-28T17:15:17.9210271Z","2026-08-28T17:22:11.781192804Z","2026-08-28T17:22:19.3319569Z","D9383C4A87B1D1196206A5003E2B07D3F99D2D93DA422D0A7AA4DDDDE33C94D1","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\009_R2OM-R03-P1-C2\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
"10","3","2","C3","R2OM-R03-P2-C3","WARM","WARM","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","PASS_SAME_SESSION_DONE_1","6C10A76AFF0E75CFE62CDF0C27EFBCB1E844B0F2107C9A1EDB010309B6BA9D2D","1","F96CDCFA2DE2427741EE1DC13E4794A7EED4BF2535F329EE343442F9BBF19ACE","EB575AE188A6B6BA0163E6AFD856AD6FD01A2EE6DC22D61470EFF69F1468EAC0","INCONCLUSIVE","YES","0xA40A0C07","0x0000400B","0x00031002","0x314B4C43","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","25.776567","NONE","471fed49-f2ef-4693-8105-b61814d6e100","20c3323d79d3896edc586d6db1df7deee60f9e41","0x20C3323D","0x79D3896E","0xDC586D6D","0xB1DF7DEE","0xE60F9E41","0x00000002","2026-08-28T17:59:21.7072697Z","2026-08-28T18:04:34.9136512Z","2026-08-28T18:07:49.947408945Z","2026-08-28T18:07:51.7738804Z","C911525528E125CE382024BA0D56B845564C94ADD1CE61FF009C5B308910E010","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\runs\010_R2OM-R03-P2-C3\04_CANDIDATE_TELEMETRY\output\R2_CANDIDATE_CAPTURE_RECEIPT.txt"
