"sequence_index","matrix_row","matrix_position","candidate","candidate_name","bitstream_sha256","run_id","start_protocol","planned_status","execution_status","classification","r0_primary_run_countable","programming_result","independent_done","init_done","init_error","total_autoinit_nack","retry_count","recovered_count","retry_exhausted","scl_timeout","video_present","frame_rate_hz","safe_formal_baseline_restored","halt_after_safe_restore","halt_reason","candidate_capture_receipt_sha256","run_commit_receipt_sha256","next_safe_baseline_receipt_sha256","evidence_basis"
"11","3","3","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R03-P3-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"12","3","4","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R03-P4-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"13","4","1","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R04-P1-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"14","4","2","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R04-P2-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"15","4","3","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R04-P3-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"16","4","4","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R04-P4-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"17","5","1","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R05-P1-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"18","5","2","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R05-P2-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"19","5","3","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R05-P3-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"20","5","4","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R05-P4-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"21","6","1","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R06-P1-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"22","6","2","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R06-P2-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"23","6","3","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R06-P3-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"24","6","4","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R06-P4-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"25","7","1","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R07-P1-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"26","7","2","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R07-P2-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"27","7","3","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R07-P3-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"28","7","4","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R07-P4-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"29","8","1","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R08-P1-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"30","8","2","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R08-P2-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"31","8","3","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R08-P3-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
"32","8","4","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R08-P4-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","NOT_RUN_AFTER_HALT","NOT_RUN","NO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CAMPAIGN_HALTED_AT_SEQUENCE_10_C3_NON_CLEAN","N/A","N/A","N/A","FROZEN_MATRIX_PLUS_HALT_RECEIPT"
