GroupIndex,GroupName,Bank,EntryCount,FirstEntry,LastEntry
0,G0-PRE,0x00,1,0,0
1,G0-ID,0x00,3,1,3
2,G0-LOCK,0x00,7,4,10
3,G0-CH,0x00,16,11,26
4,G1,0x01,10,27,36
5,G2,0x05,11,37,47
6,G3,0x06,11,48,58
7,G4,0x07,11,59,69
8,G5,0x08,11,70,80
9,G0-POST,0x00,1,81,81
