Capture,RecordsObserved,RecordsRequired,RecordIntegrity,ActiveFrameIntegrity,BoundedVbi,Complete1920x1080,Overflow,MalformedPreceding,SourceDrop,PixelClassification,Result
REFERENCE,0,2500,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,N/A,N/A,N/A,NOT_REACHED,NOT_RUN
OVERLAP,0,2500,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,N/A,N/A,N/A,NOT_REACHED,NOT_RUN
POST,0,2500,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,N/A,N/A,N/A,NOT_REACHED,NOT_RUN
