TimestampNs,Operation,Offset,Value,Purpose,Result
1789066925821239680,READ,0x3C00,0x4E565034,IDENTITY,PASS
1789066925821248586,READ,0x3C04,0x00010001,IDENTITY,PASS
1789066925821254307,READ,0x3C08,0x000003FF,IDENTITY_CAPABILITIES,PASS
1789066925821260568,READ,0x3C24,0x000000C8,RUNTIME_CONTRACT,PASS
1789066925821265177,READ,0x3C28,0x00000064,RUNTIME_CONTRACT,PASS
1789066925821269154,READ,0x3C2C,0x00000005,RUNTIME_CONTRACT,PASS
1789066925821273142,READ,0x3C30,0x000007D0,RUNTIME_CONTRACT,PASS
1789066925821277079,READ,0x3C68,0x00000010,RUNTIME_CONTRACT,PASS
1789066925821286887,WRITE,0x3C0C,0x00000001,DIAG_CLEAR,PASS
1789066926050689668,READ,0x3C10,0xFFFFFFFF,DIAG_CLEAR_WAIT,PASS
1789066926280080536,READ,0x3C14,0xFFFFFFFF,DIAG_CLEAR_WAIT_ERROR,PASS
1789066926509477757,READ,0x3C10,0xFFFFFFFF,FAILURE_RESTORE_CHECK,PASS
