Tool,Role,SHA256,Executed
capture_r3r4.py,CAPTURE_RUNTIME_MMIO_LOCK_CHECK_FAILURE_CLEANUP,E86539308771B8763C5B6B367EB8B05F8DB1757DB4EE3357D090DD5B16E9465F,NO
capture_r3r4_selftest.py,OFFLINE_OR_EVIDENCE_HELPER,65F529F9E769FFE6131B01F163EDC8F467B59B52E09805F73F5202A162856082,YES
frame_reconstruct_r3r4.py,OFFLINE_OR_EVIDENCE_HELPER,5AABCA122B4E8D8A5E3E53560B33DFAD3A0681C624ED2F8859265F5645E66282,YES
abi_v1.py,OFFLINE_OR_EVIDENCE_HELPER,2939FC522A2D9679BB720F287AC022FC48FF042CE06E20877F8E686F35909F1E,YES
V41_C2H_TRANSPORT_ABI_V1.json,OFFLINE_OR_EVIDENCE_HELPER,AACB8F32CE3807C0A1DACD644FFFA90D214AA599F0798A700576987924E0D2B6,YES
Invoke-R3R4R2DutConnection.ps1,CREDENTIAL_HELPER,9103B7E6C7F7590578B134F5C1CE528FFDA1EAAA2A7EE0C2E50FB0D916091874,NO
Collect-ImmutableBoundary.ps1,OFFLINE_OR_EVIDENCE_HELPER,54E042100FD244B69C42E774242F9EE422C662CC6969A397D4DA9C53732677E2,YES
Apply-R3R4R2Identity.ps1,OFFLINE_OR_EVIDENCE_HELPER,DC6ED772E8D10F12B986C6610ED26DEC3C6792E052318DC0C398E555EE438096,YES
audit_tool_delta_r3r4r2.py,OFFLINE_OR_EVIDENCE_HELPER,52B7744F6482A81E859CBB12F3013B085CCCED8408E65E6A54434EDAC5A045EB,YES
audit_capture_architecture_r3r4r2.py,OFFLINE_OR_EVIDENCE_HELPER,3AC1E07FE2BFA0E7FC1E9AB182C9BC46A0854D42A2A8794ADD70744CFDCA2B76,YES
build_blocked_evidence_r3r4r2.py,OFFLINE_OR_EVIDENCE_HELPER,598D19C9F89E2D0E3FC6346C2D8E5131A2AC5DA8D4AD123B0EF23355A7052013,YES
