Name,Severity,Rule
"CDC-6#1","WARNING","CDC-6"
"CDC-15#1","WARNING","CDC-15"
"CDC-15#2","WARNING","CDC-15"
"CDC-15#3","WARNING","CDC-15"
"CDC-15#4","WARNING","CDC-15"
"CDC-15#5","WARNING","CDC-15"
"CDC-15#6","WARNING","CDC-15"
"CDC-15#7","WARNING","CDC-15"
"CDC-15#8","WARNING","CDC-15"
"CDC-15#9","WARNING","CDC-15"
"CDC-15#10","WARNING","CDC-15"
"CDC-15#11","WARNING","CDC-15"
"CDC-15#12","WARNING","CDC-15"
"CDC-15#13","WARNING","CDC-15"
"CDC-15#14","WARNING","CDC-15"
"CDC-15#15","WARNING","CDC-15"
"CDC-15#16","WARNING","CDC-15"
"CDC-15#17","WARNING","CDC-15"
"CDC-15#18","WARNING","CDC-15"
"CDC-15#19","WARNING","CDC-15"
"CDC-15#20","WARNING","CDC-15"
"CDC-15#21","WARNING","CDC-15"
"CDC-15#22","WARNING","CDC-15"
"CDC-15#23","WARNING","CDC-15"
"CDC-15#24","WARNING","CDC-15"
"CDC-15#25","WARNING","CDC-15"
"CDC-15#26","WARNING","CDC-15"
"CDC-15#27","WARNING","CDC-15"
"CDC-15#28","WARNING","CDC-15"
"CDC-15#29","WARNING","CDC-15"
"CDC-15#30","WARNING","CDC-15"
"CDC-15#31","WARNING","CDC-15"
"CDC-15#32","WARNING","CDC-15"
"CDC-15#33","WARNING","CDC-15"
"CDC-15#34","WARNING","CDC-15"
"CDC-15#35","WARNING","CDC-15"
"CDC-15#36","WARNING","CDC-15"
"CDC-15#37","WARNING","CDC-15"
"CDC-15#38","WARNING","CDC-15"
"CDC-15#39","WARNING","CDC-15"
"CDC-15#40","WARNING","CDC-15"
"CDC-15#41","WARNING","CDC-15"
"CDC-15#42","WARNING","CDC-15"
"CDC-15#43","WARNING","CDC-15"
"CDC-15#44","WARNING","CDC-15"
"CDC-15#45","WARNING","CDC-15"
"CDC-15#46","WARNING","CDC-15"
"CDC-15#47","WARNING","CDC-15"
"CDC-15#48","WARNING","CDC-15"
"CDC-15#49","WARNING","CDC-15"
"CDC-15#50","WARNING","CDC-15"
"CDC-15#51","WARNING","CDC-15"
"CDC-15#52","WARNING","CDC-15"
"CDC-15#53","WARNING","CDC-15"
"CDC-15#54","WARNING","CDC-15"
"CDC-15#55","WARNING","CDC-15"
"CDC-15#56","WARNING","CDC-15"
"CDC-15#57","WARNING","CDC-15"
"CDC-15#58","WARNING","CDC-15"
"CDC-15#59","WARNING","CDC-15"
"CDC-15#60","WARNING","CDC-15"
"CDC-15#61","WARNING","CDC-15"
"CDC-15#62","WARNING","CDC-15"
"CDC-15#63","WARNING","CDC-15"
"CDC-15#64","WARNING","CDC-15"
"CDC-15#65","WARNING","CDC-15"
"CDC-15#66","WARNING","CDC-15"
"CDC-15#67","WARNING","CDC-15"
"CDC-15#68","WARNING","CDC-15"
"CDC-15#69","WARNING","CDC-15"
"CDC-15#70","WARNING","CDC-15"
"CDC-15#71","WARNING","CDC-15"
"CDC-15#72","WARNING","CDC-15"
"CDC-15#73","WARNING","CDC-15"
"CDC-15#74","WARNING","CDC-15"
"CDC-15#75","WARNING","CDC-15"
"CDC-15#76","WARNING","CDC-15"
"CDC-15#77","WARNING","CDC-15"
"CDC-15#78","WARNING","CDC-15"
"CDC-15#79","WARNING","CDC-15"
"CDC-15#80","WARNING","CDC-15"
"CDC-15#81","WARNING","CDC-15"
"CDC-15#82","WARNING","CDC-15"
"CDC-15#83","WARNING","CDC-15"
"CDC-15#84","WARNING","CDC-15"
"CDC-15#85","WARNING","CDC-15"
"CDC-15#86","WARNING","CDC-15"
"CDC-15#87","WARNING","CDC-15"
"CDC-15#88","WARNING","CDC-15"
"CDC-15#89","WARNING","CDC-15"
"CDC-15#90","WARNING","CDC-15"
"CDC-15#91","WARNING","CDC-15"
"CDC-15#92","WARNING","CDC-15"
"CDC-15#93","WARNING","CDC-15"
"CDC-15#94","WARNING","CDC-15"
"CDC-15#95","WARNING","CDC-15"
"CDC-15#96","WARNING","CDC-15"
"CDC-15#97","WARNING","CDC-15"
"CDC-15#98","WARNING","CDC-15"
"CDC-15#99","WARNING","CDC-15"
"CDC-15#100","WARNING","CDC-15"
"CDC-15#101","WARNING","CDC-15"
"CDC-15#102","WARNING","CDC-15"
"CDC-15#103","WARNING","CDC-15"
"CDC-15#104","WARNING","CDC-15"
"CDC-15#105","WARNING","CDC-15"
"CDC-15#106","WARNING","CDC-15"
"CDC-15#107","WARNING","CDC-15"
"CDC-15#108","WARNING","CDC-15"
"CDC-15#109","WARNING","CDC-15"
"CDC-15#110","WARNING","CDC-15"
"CDC-15#111","WARNING","CDC-15"
"CDC-15#112","WARNING","CDC-15"
"CDC-15#113","WARNING","CDC-15"
"CDC-15#114","WARNING","CDC-15"
"CDC-15#115","WARNING","CDC-15"
"CDC-15#116","WARNING","CDC-15"
"CDC-15#117","WARNING","CDC-15"
"CDC-15#118","WARNING","CDC-15"
"CDC-15#119","WARNING","CDC-15"
"CDC-15#120","WARNING","CDC-15"
"CDC-15#121","WARNING","CDC-15"
"CDC-15#122","WARNING","CDC-15"
"CDC-15#123","WARNING","CDC-15"
"CDC-15#124","WARNING","CDC-15"
"CDC-15#125","WARNING","CDC-15"
"CDC-15#126","WARNING","CDC-15"
"CDC-15#127","WARNING","CDC-15"
"CDC-15#128","WARNING","CDC-15"
"CDC-15#129","WARNING","CDC-15"
"CDC-15#130","WARNING","CDC-15"
"CDC-15#131","WARNING","CDC-15"
"CDC-15#132","WARNING","CDC-15"
"CDC-15#133","WARNING","CDC-15"
"CDC-15#134","WARNING","CDC-15"
"CDC-15#135","WARNING","CDC-15"
"CDC-15#136","WARNING","CDC-15"
"CDC-15#137","WARNING","CDC-15"
"CDC-15#138","WARNING","CDC-15"
"CDC-15#139","WARNING","CDC-15"
"CDC-15#140","WARNING","CDC-15"
"CDC-15#141","WARNING","CDC-15"
"CDC-15#142","WARNING","CDC-15"
"CDC-15#143","WARNING","CDC-15"
"CDC-15#144","WARNING","CDC-15"
"CDC-15#145","WARNING","CDC-15"
"CDC-15#146","WARNING","CDC-15"
"CDC-15#147","WARNING","CDC-15"
"CDC-15#148","WARNING","CDC-15"
"CDC-15#149","WARNING","CDC-15"
"CDC-15#150","WARNING","CDC-15"
"CDC-15#151","WARNING","CDC-15"
"CDC-15#152","WARNING","CDC-15"
"CDC-15#153","WARNING","CDC-15"
"CDC-15#154","WARNING","CDC-15"
"CDC-15#155","WARNING","CDC-15"
"CDC-15#156","WARNING","CDC-15"
"CDC-15#157","WARNING","CDC-15"
