sample,image_sha,source_commit,program_result,done_to_reboot_delay,boot_id,driver_context,INIT_DONE,INIT_ERROR,NACK_COUNT,TIMEOUT_COUNT,first_error,VCLK_DELTA,SAV_DELTA,FRAME_DELTA,infrastructure_validity,caveat
RC-A current run 1,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,PASS,normal,prior,accepted,1,0,0,0,NONE,148557621,28136,25,VALID,current-hardware control
RC-A current run 2,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,PASS,normal,prior,accepted,1,0,0,0,NONE,148555139,28136,25,VALID,current-hardware control
RC-A current run 3,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,PASS,normal,prior,accepted,1,0,0,0,NONE,148520870,28129,25,VALID,current-hardware control
Prior v41 Z8,diagnostic,prior,PASS,UNKNOWN_NOT_RECORDED,prior,accepted,1,1,20,0,prior tuple,154940743,0,0,VALID,diagnostic image
Original delayed Phase-2,7E4E909D78C2BE5C1E0ECA56229F2B88ECC2DBF5974B32BDF07EF1AFCD9449A2,fd32fcb65be3f1a59c569874195d1faeaf7d27e9,PASS,3.060054400,20ce3f85-63d7-4d02-a3ad-9c87de8ad794,driver absent,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,INVALID,retained original row
Final salvaged delayed Phase-2,7E4E909D78C2BE5C1E0ECA56229F2B88ECC2DBF5974B32BDF07EF1AFCD9449A2,fd32fcb65be3f1a59c569874195d1faeaf7d27e9,PASS,3.060054400,20ce3f85-63d7-4d02-a3ad-9c87de8ad794,pinned driver loaded later in same boot,1,1,9,0,code01_step35_bank05_reg90_value01,150881506,0,0,VALID,post-gate measurement-channel recovery

