mode,divider,tick_cycles,tick_us,actual_scl_hz,ticks_per_probe,preamble_ticks,target_count,expected_seconds
50KHZ,625,626,10.016,49920.1277955271565495207667732,23,2,10000,2.303700032
25KHZ,1250,1251,20.016,24980.0159872102318145483613110,23,2,10000,4.603720032
