sequence_index,run_id,candidate,historical_classification,population,aggregate_raw_capture_sha256,receipt_raw_capture_sha256,aggregate_hash_receipt_match,t0_raw_capture_sha256,t1_raw_capture_sha256,telemetry_result_sha256,frame_t0_value,frame_t1_value,frame_delta,frame_t0_monotonic_s,frame_t1_monotonic_s,actual_frame_elapsed_s,reported_hz_6dp,independently_calculated_hz,reported_minus_independent_hz,rounded_value_match,vclk_t0_value,vclk_t1_value,vclk_delta,vclk_elapsed_s,vclk_hz,sav_t0_value,sav_t1_value,sav_delta,sav_elapsed_s,sav_hz,sav_derived_frame_hz_1125_lines,recalculation_status,linked_raw_evidence_path
1,R2OM-R01-P1-C0,C0,FAIL,ZERO,FBFA2A398F38E896280523EF31F5BA41E0AC5AF9330BFAFC091E33D4325DA2DE,FBFA2A398F38E896280523EF31F5BA41E0AC5AF9330BFAFC091E33D4325DA2DE,YES,AA9FE8ED015EFF728314ECAA7E43F1E251ECF4D28A76994E06FBAFD43AABFFA8,97A37F91DAA9AA3A97098F7AC899608E63D4D8150EE09319A3655BB208B7BA56,048AA287CE164916ADEACCEC3ACC218415D9DF781D5440B47B6C8EDDC48E3C57,0,0,0,66.8832432495,67.8911689,1.007925650499999,0.000000,0,0,YES,1074234726,1223914967,149680241,1.007941459499989,148500926.90328673,0,0,0,1.0079421604999936,0,0,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/001_R2OM-R01-P1-C0_RAW_CAPTURE_TRANSPORT.json
2,R2OM-R01-P2-C1,C1,INCONCLUSIVE,B_26_EVENTS,0C11C01B3954539D7CF320D76723DAC02878D7CF6227C41637EC89D0F66C472F,0C11C01B3954539D7CF320D76723DAC02878D7CF6227C41637EC89D0F66C472F,YES,5BF24A78C9EBCB0105F62FA9EA07069EF5971F36AEED0E978AA32B2DD1974B4A,F6FE06DF41575AC428870D8F714C7DF68BA49181FF0A0CBF7B5A3492E017171D,CA5EB58C221A1D4B2C6C319F8E2542B540ED7A517D3B51DC4C160D2688CBC544,2589,2615,26,83.8195105035,84.8274384035,1.0079278999999985,25.795496,25.795495888148388,1.1185161241655805e-7,YES,977801140,1127481436,149680296,1.0079452724999953,148500419.69912675,2911607,2939956,28349,1.0079466094999958,28125.49765315731,25.00044235836205,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/002_R2OM-R01-P2-C1_RAW_CAPTURE_TRANSPORT.json
3,R2OM-R01-P3-C3,C3,CLEAN_PASS,A_25_EVENTS,0E2F02B7551620E60C45C752946257966F09ED6A82098A6C5FBFAB4F08906C1D,0E2F02B7551620E60C45C752946257966F09ED6A82098A6C5FBFAB4F08906C1D,YES,8355192DF175B991A441EB4B799B8558CC7CADD9DA39B70650650FE91DAEF512,D3871C1D5FA91F13F5BC7701C2FD431D5C6E0220D3EF62976281E4456202093F,354D7A4A380215555E9030D4A17C8B79138477D33C39D8CC9625A3DBAA37A60F,2436,2461,25,76.53906824149999,77.547165837,1.0080975955000042,24.799186,24.79918622125103,-2.2125103171788396e-7,YES,3792492933,3942197953,149705020,1.0081125775000004,148500299.80902597,2739813,2768166,28353,1.008113670499995,28124.804602577944,24.999826313402618,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/003_R2OM-R01-P3-C3_RAW_CAPTURE_TRANSPORT.json
4,R2OM-R01-P4-C2,C2,CLEAN_PASS,A_25_EVENTS,0AEC029F7EFB94B66DDB0C2EEAE3F783B89FD494FA49B8BF037F21E30ED6CEAB,0AEC029F7EFB94B66DDB0C2EEAE3F783B89FD494FA49B8BF037F21E30ED6CEAB,YES,4D0058AF0922685B273A8761C6052B515B5D4F8D38D327489EE12C68369454FD,B77838709BA9142D450C0EC5CF76C581518E2A9C488F0BB3A18D674B06A039C0,7EA0FF13035D3E93F32A6FD02827B3A5151B6DD6B16ECA2FCA8E57BDCE9A49D5,2156,2181,25,66.18101938199999,67.188730791,1.0077114090000094,24.808690,24.808690044313835,-4.4313836156106845e-8,YES,2441873364,2591521055,149647691,1.0077268329999924,148500254.33430246,2423765,2452107,28342,1.0077276245000064,28124.66316388037,24.999700590115886,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/004_R2OM-R01-P4-C2_RAW_CAPTURE_TRANSPORT.json
5,R2OM-R02-P1-C1,C1,INCONCLUSIVE,B_26_EVENTS,83AF6F834A363368C7FF6E9E3DC718E64B79B33B0D43E8EE951095D833A76364,83AF6F834A363368C7FF6E9E3DC718E64B79B33B0D43E8EE951095D833A76364,YES,5BEFCFDE479576B14CBD9046E858819A68001ECD607B8E42D1CBA07A87628442,1A779F4045760E70D7BC99566C1CDB2723EFB0FB0B100DF9FF3C974B5302AB81,27C15B1109A056C51B54CB2C47B0CB96757E2D1718C407055A1B65CD56BD5049,2086,2112,26,62.6964178325,63.704371533,1.0079537004999963,25.794836,25.794835603165776,3.96834224147824e-7,YES,2359052848,2508736501,149683653,1.0079684775000004,148500331.4500973,2345657,2374006,28349,1.0079694745000012,28124.859648217418,24.999875242859925,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/005_R2OM-R02-P1-C1_RAW_CAPTURE_TRANSPORT.json
6,R2OM-R02-P2-C2,C2,RECOVERED_PASS,B_26_EVENTS,02CAA01799AAFA231C997FE8EF61530076F4F0B419920AC78CC1CD27A5A951E6,02CAA01799AAFA231C997FE8EF61530076F4F0B419920AC78CC1CD27A5A951E6,YES,2A6C3DEA9324A1EC93868127E014D8294AE1D7E18018AE7CE4C078392C9045DC,A3E3807B0C7AF11FEFFD2B2B9C80B05360D2CFAB677D5728BB8C06C8499FD1F6,BE03047C9E3C2E96E49953D4EF7D2E701F57D4C46A2850B694639A74CA02AD9F,2187,2213,26,67.9198786085,68.927714769,1.0078361605000055,25.797844,25.79784395422063,4.577936962846252e-8,YES,575719697,725386249,149666552,1.007852916999994,148500390.75691926,2459781,2488127,28346,1.0078538639999977,28125.109217222853,25.00009708197587,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/006_R2OM-R02-P2-C2_RAW_CAPTURE_TRANSPORT.json
7,R2OM-R02-P3-C0,C0,FAIL,ZERO,3EC6E3E4C5F6B79934E3C06A051BC9DD9F17BF28DBE6AA6C299293771D093D42,3EC6E3E4C5F6B79934E3C06A051BC9DD9F17BF28DBE6AA6C299293771D093D42,YES,F76EE48F1E2FDF4936D09DAE885C30D0C701650CAB9592F98B64C2D8DDB1B9AF,F8C4664DCDDE347D3087BAF2890EBB28AA6B14F2EB03B9FEF235987C20B4C687,CF05C14FE3B93FCF3D386268B04B8CE0D4535B5877054414A74316B7CD0D865F,0,0,0,80.4871622295,81.495136282,1.0079740525000034,0.000000,0,0,YES,2315153885,2464840879,149686994,1.0079899674999808,148500479.99113923,0,0,0,1.0079907739999783,0,0,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/007_R2OM-R02-P3-C0_RAW_CAPTURE_TRANSPORT.json
8,R2OM-R02-P4-C3,C3,CLEAN_PASS,A_25_EVENTS,0C6C633F97F44810D4F8AF9AA82C551C39BC9CA256007C3DAF2851CD55A54976,0C6C633F97F44810D4F8AF9AA82C551C39BC9CA256007C3DAF2851CD55A54976,YES,C8F39C342B0BE47C454835BE58BAC6DA569D32D4359BC69B429FBB471FC157CD,2FDAAE5FB03260C6156917798D84644B8CCE6977C4AA84CB11A384642AEC3827,05112186E178BF40E8085761D222504CA6D1DDE97AB4C88D8087DA4870747637,2387,2412,25,76.3222629765,77.330135299,1.0078723225000061,24.804729,24.804729172429326,-1.7242932770500374e-7,YES,1133708563,1283380120,149671557,1.007887830499996,148500212.49462897,2684898,2713245,28347,1.0078889935000035,28125.12110243607,25.00010764660984,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/008_R2OM-R02-P4-C3_RAW_CAPTURE_TRANSPORT.json
9,R2OM-R03-P1-C2,C2,RECOVERED_PASS,A_25_EVENTS,CC159157A892D8D46F2BBE59F372A8D93FA066DABE230361FC267CC1700A635C,CC159157A892D8D46F2BBE59F372A8D93FA066DABE230361FC267CC1700A635C,YES,37ABC7634755401F7396DBAEC9BAEB0DDA3A78A7CE4B211E42B1894E0573A4EE,2FFB967BC34F5F2C561892850C726B622390F29FA7F4E61285B506FC69B608E3,0B6BCA510D42F3B6E41ADEE4AB76581629E9F3A6022FDD654D7B921CAAEF2A50,6333,6358,25,234.0460999535,235.0539171075,1.0078171540000085,24.806087,24.806086997800584,2.199417536985493e-9,YES,4252150758,106846918,149663456,1.0078342504999966,148500069.25816467,7123446,7151791,28345,1.0078350225000179,28124.642790928112,24.999682480824987,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/009_R2OM-R03-P1-C2_RAW_CAPTURE_TRANSPORT.json
10,R2OM-R03-P2-C3,C3,INCONCLUSIVE,B_26_EVENTS,601486A11377BE6C6581C82C29BA0BD5B304FC5A64FB20F7560DDD44A316C777,601486A11377BE6C6581C82C29BA0BD5B304FC5A64FB20F7560DDD44A316C777,YES,D555B7D2786EBC4F07BD72351B09C11215D929CF5428BB52E5A7717D241EF336,9B55E13C3B8B198C1F66E85F46F81B8C4BA8820115ADF041B5C28D2577E954FB,1E094EFCB71C9C75D1DA0945508D54AA7C4A7494DED113974CD92FC25D3FDFF7,2840,2866,26,94.2178573545,95.22652540850001,1.0086680540000117,25.776567,25.776567322513515,-3.225135145612512e-7,YES,2405212822,2555006882,149794060,1.0086849800000124,148504303.09768087,3194345,3222716,28371,1.0086863774999983,28126.68103074491,25.00149424955103,PASS_EXACT_RAW_MONOTONIC_RECALCULATION,audit/linked_raw_captures/010_R2OM-R03-P2-C3_RAW_CAPTURE_TRANSPORT.json
