case_id,op_read,stretch_phase,stretch_bit,extra_cycles,edge_phase_ns,scl_input_delay_ns,sda_input_delay_ns,ack_mode,ack_lead_ns,early_release_ns,stratum,declared_class
60,0,2,4,64,4,0,0,0,2000,0,all_data_bits,GENERIC_VALID_DIGITAL
61,0,2,4,1248,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
62,0,2,4,1260,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
63,0,2,5,0,4,0,0,0,2000,0,all_data_bits,GENERIC_VALID_DIGITAL
64,0,2,5,64,4,0,0,0,2000,0,all_data_bits,GENERIC_VALID_DIGITAL
65,0,2,5,1248,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
66,0,2,5,1260,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
67,0,2,6,0,4,0,0,0,2000,0,all_data_bits,GENERIC_VALID_DIGITAL
68,0,2,6,64,4,0,0,0,2000,0,all_data_bits,GENERIC_VALID_DIGITAL
69,0,2,6,1248,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
70,0,2,6,1260,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
71,0,2,7,0,4,0,0,0,2000,0,all_data_bits,GENERIC_VALID_DIGITAL
72,0,2,7,64,4,0,0,0,2000,0,all_data_bits,GENERIC_VALID_DIGITAL
73,0,2,7,1248,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
74,0,2,7,1260,4,0,0,0,2000,0,all_data_bits,STRETCH_TIMEOUT_SENSITIVITY
75,1,5,2,256,12,0,0,0,2000,0,register_bit_before_ack,GENERIC_VALID_DIGITAL
76,1,5,6,256,12,0,0,0,2000,0,register_bit_before_ack,GENERIC_VALID_DIGITAL
77,0,0,-1,0,8,0,0,0,2000,0,address_ack_control,GENERIC_VALID_DIGITAL
78,0,0,-1,256,8,0,0,0,2000,0,address_ack_control,GENERIC_VALID_DIGITAL
79,0,0,-1,1248,8,0,0,0,2000,0,address_ack_control,STRETCH_TIMEOUT_SENSITIVITY
80,1,4,-1,0,8,0,0,0,2000,0,address_ack_control,GENERIC_VALID_DIGITAL
81,1,4,-1,256,8,0,0,0,2000,0,address_ack_control,GENERIC_VALID_DIGITAL
82,1,4,-1,1248,8,0,0,0,2000,0,address_ack_control,STRETCH_TIMEOUT_SENSITIVITY
83,0,3,-1,256,1,0,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
84,0,3,-1,256,1,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
85,0,3,-1,256,1,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
86,0,3,-1,256,1,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
87,0,3,-1,1248,1,0,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
88,0,3,-1,1248,1,32,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
89,0,3,-1,1248,1,0,32,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
90,0,3,-1,1248,1,128,500,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
91,0,3,-1,256,4,0,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
92,0,3,-1,256,4,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
93,0,3,-1,256,4,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
94,0,3,-1,256,4,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
95,0,3,-1,1248,4,0,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
96,0,3,-1,1248,4,32,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
97,0,3,-1,1248,4,0,32,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
98,0,3,-1,1248,4,128,500,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
99,0,3,-1,256,8,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
100,0,3,-1,256,8,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
101,0,3,-1,256,8,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
102,0,3,-1,1248,8,32,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
103,0,3,-1,1248,8,0,32,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
104,0,3,-1,1248,8,128,500,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
105,0,3,-1,256,12,0,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
106,0,3,-1,256,12,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
107,0,3,-1,256,12,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
108,0,3,-1,256,12,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
109,0,3,-1,1248,12,0,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
110,0,3,-1,1248,12,32,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
111,0,3,-1,1248,12,0,32,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
112,0,3,-1,1248,12,128,500,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
113,0,3,-1,256,15,0,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
114,0,3,-1,256,15,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
115,0,3,-1,256,15,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
116,0,3,-1,256,15,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
117,0,3,-1,1248,15,0,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
118,0,3,-1,1248,15,32,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
119,0,3,-1,1248,15,0,32,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
120,0,3,-1,1248,15,128,500,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
121,1,1,-1,256,1,0,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
122,1,1,-1,256,1,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
123,1,1,-1,256,1,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
124,1,1,-1,256,1,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
125,1,1,-1,1248,1,0,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
126,1,1,-1,1248,1,32,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
127,1,1,-1,1248,1,0,32,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
128,1,1,-1,1248,1,128,500,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
129,1,1,-1,256,4,0,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
130,1,1,-1,256,4,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
131,1,1,-1,256,4,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
132,1,1,-1,256,4,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
133,1,1,-1,1248,4,0,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
134,1,1,-1,1248,4,32,0,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
135,1,1,-1,1248,4,0,32,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
136,1,1,-1,1248,4,128,500,0,2000,0,phase_skew,STRETCH_TIMEOUT_SENSITIVITY
137,1,1,-1,256,8,32,0,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
138,1,1,-1,256,8,0,32,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
139,1,1,-1,256,8,128,500,0,2000,0,phase_skew,GENERIC_VALID_DIGITAL
