register,first_read,second_read,agreement,rollback_source,status
Bank5/0x08,N/A,N/A,NOT_REACHED,runtime baseline not acquired,NOT_REACHED
Bank5/0x05,N/A,N/A,NOT_AUTHORIZED,UNRESOLVED,INSEPARABLE_BLOCKER
