action,target,value,requested,executed,result
APPLY_CH1_SLICE_50,Bank5/0x08,0x50,NO,NO,NOT_REACHED
APPLY_CH1_SLICE_40,Bank5/0x08,0x40,NO,NO,NOT_REACHED
APPLY_CH1_SLICE_60,Bank5/0x08,0x60,NO,NO,NOT_REACHED
