serial,label,utc,boot_id,generation,A8_PRE_hex,A8_POST_hex,CH1_NOVID_PRE,CH1_NOVID_POST,CH1_7A_hex,CH1_7B_hex,B5_F0_hex,B5_F2_hex,B5_F3_hex,B5_F4_hex,B5_F5_hex,B5_E2_hex,B5_E3_hex,B5_E8_hex,B5_E9_hex,B5_EA_hex,B5_EB_hex,NVP_00_F4_hex,NVP_00_F5_hex,entries_valid,groups,transactions,retried_entries,telemetry_events,entry_bank,exit_bank,raw_sha256,scan_json_sha256,ack_json_sha256
1,initial-1,2026-09-18T15:49:22.484168285Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,278,0x0F,0x0F,1,1,0x11,0x11,0xFF,0xC0,0x03,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,26B9949EBA69674C512233DC87BAF6EE6E34D35FDE02A2A69D527C1652135AE8,57E75FBB2F89BED96580897891F2C37BFCF6907B1AA1E4A751AE430E5BDA19A1,7405E60E58E91532A0231B4F9089C5FB357C42A33A2BA8502B666E011ECE3409
2,initial-2,2026-09-18T15:49:22.802209108Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,279,0x0F,0x0F,1,1,0x11,0x11,0xFF,0xC0,0x03,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,27C01A95E0B9912FAAD664A3CC9E771CE29CDEF40B4A0C830E20B7E4C57D38D6,42C3565C57CF6AC0D73367939F394DBC9983A19A70D2380EBC4BF291795E5665,5A94CB7161972EE2D8C676670743F9DFDB892E920D5423D1132BE2C1573B06F3
3,initial-3,2026-09-18T15:49:23.120240446Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,280,0x0F,0x0F,1,1,0x11,0x11,0xFF,0xC0,0x03,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,6459F456F0D51BE685F0EF454A2A24E50CBD7B796A019C0677FA8942B84738ED,E44ED95ED265B3FA9A0B1489C3AC1D3F1852F1AA18E1A94065ABCA6E8C4A88B2,4943472E01C38C659C91D2F6EDB064BC5D9B5CAFAC12E355384302CCD8AFA812
4,initial-4,2026-09-18T15:49:23.440344382Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,281,0x0F,0x0F,1,1,0x11,0x11,0xFF,0xC0,0x03,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,4DCB043ABA93E566619AABC006CF3A86F6AF7EF580F7F443AB2DE168D5EEA194,9C1E5AAB78A00F6CBBAE488AEC85CD2ED08A94E4EB97DA9C6A22A3CFEF8A3788,B650071C8776506B1D08F90D31D397DBF6CBE229AD21F6053D3DA400AFD40019
5,initial-5,2026-09-18T15:49:23.759565719Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,282,0x0F,0x0F,1,1,0x11,0x11,0xFF,0xC0,0x03,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,10E76A3BF1065531683BBD5EDA2950486F18106EB9A8B6F2C2648DFFFE1DFD8F,608DF1AD0CE44BBE862454CF6D9386F0FDCB02D086964F60FEEB24056DA5F0F6,A61FE51E8C1ED80EDF4FED6CEF3715F852844D0FD8159E75A449397D06152BB6
