metric,value,unit,availability,note
TOTAL_ON_CHIP_POWER,0.636,W,REPORTED,Vivado report_power
DYNAMIC_POWER,0.557,W,REPORTED,Vivado report_power
DEVICE_STATIC_POWER,0.078,W,REPORTED,Vivado report_power
CLOCK_POWER,0.048,W,REPORTED,On-chip resource category
SIGNAL_POWER,0.030,W,REPORTED,On-chip resource category
LOGIC_POWER,0.023,W,REPORTED,Slice Logic
BRAM_POWER,0.028,W,REPORTED,Block RAM
DSP_POWER,0.000,W,REPORTED,No DSP category usage
IO_POWER,0.031,W,REPORTED,Whole-design I/O estimate
GT_POWER,0.149,W,REPORTED,GTP
MMCM_POWER,0.224,W,REPORTED,MMCM
HARD_IP_POWER,0.025,W,REPORTED,PCIe hard IP
RELEVANT_VCCO_BANK_POWER,NOT_AVAILABLE_FROM_UNMODIFIED_DCP,W,NOT_AVAILABLE,Only aggregate Vcco33 rail-class current is reported
JUNCTION_TEMPERATURE,28.000,C,REPORTED,Vectorless estimate
MAX_AMBIENT,82.000,C,REPORTED,Vectorless estimate
POWER_CONFIDENCE,Low,text,REPORTED,Overall confidence
