supply,voltage_v,total_current_a,dynamic_current_a,static_current_a,derived_total_power_w,note
VCCINT,1.000000,0.176911,0.165831,0.011080,0.176911,Voltage times reported current
VCCAUX,1.800000,0.152758,0.140067,0.012691,0.274964,Voltage times reported current
VCCO33,3.300000,0.001092,0.000092,0.001000,0.003604,Aggregate Vcco33 class; not bank 14 alone
VCCBRAM,1.000000,0.002177,0.001463,0.000714,0.002177,Voltage times reported current
