GlobalSequenceNumber,ConfigurationLayer,SourceExpected,HardwareLedgerObserved,Comparison,Evidence
221,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x51 data=0x7D,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
222,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x52 data=0xC3,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
223,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x53 data=0x52,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
224,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x54 data=0xAB,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
225,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x55 data=0x7D,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
226,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x56 data=0xC3,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
227,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x57 data=0x52,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
228,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x58 data=0xAB,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
229,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x59 data=0x7D,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
230,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x5A data=0xC3,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
231,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x5B data=0x52,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
232,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x5C data=0xAB,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
233,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x5D data=0x7D,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
234,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x5E data=0xC3,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
235,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0x5F data=0x52,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
236,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x09 addr=0xFF data=0x00,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
237,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0xFF data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
238,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x00 addr=0xFF data=0x00,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
239,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x00 addr=0xB8 data=0x00,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
240,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x00 addr=0xFF data=0x00,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
241,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x00 addr=0xFF data=0x00,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
242,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x08 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
243,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x09 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
244,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x0A data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
245,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x0B data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
246,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x81 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
247,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x82 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
248,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x83 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
249,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x84 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
250,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0xA8 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
251,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0xE0 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
252,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0xE8 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
253,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0xE9 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
254,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0xEA data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
255,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0xEB data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
256,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x54 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
257,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x00 addr=0x55 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
258,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x00 addr=0xFF data=0x01,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
259,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xC2 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
260,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xC3 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
261,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xC4 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
262,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xC5 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
263,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xC8 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
264,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xC9 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
265,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xCA data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
266,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x01 addr=0xCD data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
267,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x01 addr=0xFF data=0x05,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
268,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x05 addr=0xF0 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
269,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x05 addr=0xFF data=0x06,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
270,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x06 addr=0xF0 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
271,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x06 addr=0xFF data=0x07,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
272,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x07 addr=0xF0 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
273,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x07 addr=0xFF data=0x08,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
274,L3_ALL_CHANNEL_PUBLIC_OVERLAY,READ bank=0x08 addr=0xF0 data=N/A,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
275,L3_ALL_CHANNEL_PUBLIC_OVERLAY,WRITE bank=0x08 addr=0xFF data=AUTOINIT_ENTRY_BANK,NO_PER_TRANSACTION_LEDGER,LEDGER_NOT_AVAILABLE,R3R2R1 did not publish physical per-register autoinit/scan transaction rows
276,L4_DIAGNOSTIC_PREPARE,READ bank=AUTOINIT_ENTRY_BANK addr=0xFF data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
277,L4_DIAGNOSTIC_PREPARE,WRITE bank=AUTOINIT_ENTRY_BANK addr=0xFF data=0x00,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
278,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x78 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
279,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x79 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
280,L4_DIAGNOSTIC_PREPARE,WRITE bank=0x00 addr=0xFF data=0x01,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
281,L4_DIAGNOSTIC_PREPARE,READ bank=0x01 addr=0xC2 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
282,L4_DIAGNOSTIC_PREPARE,WRITE bank=0x01 addr=0xFF data=ORIGINAL_ENTRY_BANK,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
283,L4_DIAGNOSTIC_PREPARE,WRITE bank=ORIGINAL_ENTRY_BANK addr=0xFF data=0x00,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
284,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x80 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
285,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x00 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
286,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x01 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
287,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x02 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
288,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x03 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
289,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x08 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
290,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x09 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
291,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x0A data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
292,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x0B data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
293,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x81 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
294,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x82 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
295,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x83 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
296,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x84 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
297,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x85 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
298,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x86 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
299,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x87 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
300,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x88 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
301,L4_DIAGNOSTIC_PREPARE,WRITE bank=0x00 addr=0xFF data=ORIGINAL_ENTRY_BANK,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
302,L4_DIAGNOSTIC_PREPARE,READ bank=ORIGINAL_ENTRY_BANK addr=0xFF data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
303,L4_DIAGNOSTIC_PREPARE,WRITE bank=ORIGINAL_ENTRY_BANK addr=0xFF data=0x00,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
304,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x78 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
305,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x79 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
306,L4_DIAGNOSTIC_PREPARE,WRITE bank=0x00 addr=0xFF data=0x01,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
307,L4_DIAGNOSTIC_PREPARE,READ bank=0x01 addr=0xC2 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
308,L4_DIAGNOSTIC_PREPARE,WRITE bank=0x01 addr=0xFF data=ORIGINAL_ENTRY_BANK,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
309,L4_DIAGNOSTIC_PREPARE,WRITE bank=ORIGINAL_ENTRY_BANK addr=0xFF data=0x00,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
310,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x80 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
311,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x00 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
312,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x01 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
313,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x02 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
314,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x03 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
315,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x08 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
316,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x09 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
317,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x0A data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
318,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x0B data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
319,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x81 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
320,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x82 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
321,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x83 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
322,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x84 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
323,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x85 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
324,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x86 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
325,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x87 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
326,L4_DIAGNOSTIC_PREPARE,READ bank=0x00 addr=0x88 data=N/A,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
327,L4_DIAGNOSTIC_PREPARE,WRITE bank=0x00 addr=0xFF data=ORIGINAL_ENTRY_BANK,BASELINE_COUNTERS_C1_26_C2_52,MATCH_AGGREGATE,baseline A/B each advance exactly 26 transactions
328,L5_ROUND_BGDCOL,WRITE bank=ORIGINAL_ENTRY_BANK addr=0xFF data=0x00,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
329,L5_ROUND_BGDCOL,WRITE bank=0x00 addr=0x78 data=0x46,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
330,L5_ROUND_BGDCOL,WRITE bank=0x00 addr=0x79 data=0x13,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
331,L5_ROUND_BGDCOL,READ bank=0x00 addr=0x78 data=N/A,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
332,L5_ROUND_BGDCOL,READ bank=0x00 addr=0x79 data=N/A,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
333,L6_SESSION_ROUTE_STATUS,WRITE bank=0x00 addr=0xFF data=0x01,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
334,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
335,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xC2 data=0x00,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
336,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
337,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xFF data=0x00,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
338,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
339,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
340,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
341,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
342,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
343,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
344,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
345,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
346,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
347,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
