scan,generation,start_utc,collected_utc,a8_pre,a8_post,a8_pre_ch4_ch3_ch2_ch1,a8_post_ch4_ch3_ch2_ch1,ch1_pre,ch1_post,ch2_pre,ch2_post,ch3_pre,ch3_post,ch4_pre,ch4_post,raw_path,raw_sha256,ack_verified
1,284,2026-09-18T18:41:32.554966827Z,2026-09-18T18:41:32.743051380Z,0x0F,0x0F,1111,1111,1,1,1,1,1,1,1,1,raw/scans/01-four-input-1.bin,03C3631329BD2BCFAB190AE498F5771B672EF188F6B88B0F45C151EEE049CA78,True
2,285,2026-09-18T18:41:32.861116848Z,2026-09-18T18:41:33.055607734Z,0x0F,0x0F,1111,1111,1,1,1,1,1,1,1,1,raw/scans/02-four-input-2.bin,69BD6E4D3A129BF0E3DDCC8CCF139074B7ABA6291DDEC4D4030BFCEBE625E0DF,True
3,286,2026-09-18T18:41:33.181980633Z,2026-09-18T18:41:33.375854285Z,0x0F,0x0F,1111,1111,1,1,1,1,1,1,1,1,raw/scans/03-four-input-3.bin,2FD38E8298D32EC68BD078F169F590803ED3C9DAD6B710DB1F0E02D5C09622AC,True
4,287,2026-09-18T18:41:33.502211633Z,2026-09-18T18:41:33.694975736Z,0x0F,0x0F,1111,1111,1,1,1,1,1,1,1,1,raw/scans/04-four-input-4.bin,CEFD536E5EC8A7FCF4BAAB99283FF23E096C97AA3DF9A8E528CD1AEADCB7FCAA,True
5,288,2026-09-18T18:41:33.820896458Z,2026-09-18T18:41:34.015368738Z,0x0F,0x0F,1111,1111,1,1,1,1,1,1,1,1,raw/scans/05-four-input-5.bin,E35B494BA1F7A828AC32265930D3A977B43720C70699024E8EDA635194B38F6A,True
