scan,generation,other_channel,ch1_f2,other_f2,xor_f2,xor_f2_bit_indices,ch1_f3,other_f3,xor_f3,xor_f3_bit_indices,raw_path,raw_sha256,ack_verified
1,284,CH2,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/01-four-input-1.bin,03C3631329BD2BCFAB190AE498F5771B672EF188F6B88B0F45C151EEE049CA78,True
1,284,CH3,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/01-four-input-1.bin,03C3631329BD2BCFAB190AE498F5771B672EF188F6B88B0F45C151EEE049CA78,True
1,284,CH4,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/01-four-input-1.bin,03C3631329BD2BCFAB190AE498F5771B672EF188F6B88B0F45C151EEE049CA78,True
2,285,CH2,0xC1,0x00,0xC1,"0,6,7",0x03,0x00,0x03,"0,1",raw/scans/02-four-input-2.bin,69BD6E4D3A129BF0E3DDCC8CCF139074B7ABA6291DDEC4D4030BFCEBE625E0DF,True
2,285,CH3,0xC1,0x00,0xC1,"0,6,7",0x03,0x00,0x03,"0,1",raw/scans/02-four-input-2.bin,69BD6E4D3A129BF0E3DDCC8CCF139074B7ABA6291DDEC4D4030BFCEBE625E0DF,True
2,285,CH4,0xC1,0x00,0xC1,"0,6,7",0x03,0x00,0x03,"0,1",raw/scans/02-four-input-2.bin,69BD6E4D3A129BF0E3DDCC8CCF139074B7ABA6291DDEC4D4030BFCEBE625E0DF,True
3,286,CH2,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/03-four-input-3.bin,2FD38E8298D32EC68BD078F169F590803ED3C9DAD6B710DB1F0E02D5C09622AC,True
3,286,CH3,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/03-four-input-3.bin,2FD38E8298D32EC68BD078F169F590803ED3C9DAD6B710DB1F0E02D5C09622AC,True
3,286,CH4,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/03-four-input-3.bin,2FD38E8298D32EC68BD078F169F590803ED3C9DAD6B710DB1F0E02D5C09622AC,True
4,287,CH2,0xC1,0x00,0xC1,"0,6,7",0x03,0x00,0x03,"0,1",raw/scans/04-four-input-4.bin,CEFD536E5EC8A7FCF4BAAB99283FF23E096C97AA3DF9A8E528CD1AEADCB7FCAA,True
4,287,CH3,0xC1,0x00,0xC1,"0,6,7",0x03,0x00,0x03,"0,1",raw/scans/04-four-input-4.bin,CEFD536E5EC8A7FCF4BAAB99283FF23E096C97AA3DF9A8E528CD1AEADCB7FCAA,True
4,287,CH4,0xC1,0x00,0xC1,"0,6,7",0x03,0x00,0x03,"0,1",raw/scans/04-four-input-4.bin,CEFD536E5EC8A7FCF4BAAB99283FF23E096C97AA3DF9A8E528CD1AEADCB7FCAA,True
5,288,CH2,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/05-four-input-5.bin,E35B494BA1F7A828AC32265930D3A977B43720C70699024E8EDA635194B38F6A,True
5,288,CH3,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/05-four-input-5.bin,E35B494BA1F7A828AC32265930D3A977B43720C70699024E8EDA635194B38F6A,True
5,288,CH4,0xC0,0x00,0xC0,"6,7",0x03,0x00,0x03,"0,1",raw/scans/05-four-input-5.bin,E35B494BA1F7A828AC32265930D3A977B43720C70699024E8EDA635194B38F6A,True
