IMAGE_ROLE,CLOCK_NAME,SOURCE_PINS,PERIOD_NS,REGISTER_CELL_COUNT,REPRESENTATIVE_SINKS,TOP_HIERARCHY_COUNTS,REF_NAME_COUNTS
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT0","8.000","431","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[0];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[1];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[2];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[3];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[4]","XDMA=431","FDCE=9;FDRE=392;FDSE=21;GTPE2_CHANNEL=1;GTPE2_COMMON=1;PCIE_2_1=1;SRL16E=6"
"FORMAL_PHASE2_FAIL_CONTROL","clk_250mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT1","4.000","0","","",""
"FORMAL_PHASE2_FAIL_CONTROL","idelay_mmcm_feedback_unbuf","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKFBOUT","6.734","0","","",""
"FORMAL_PHASE2_FAIL_CONTROL","idelay_refclk_unbuf","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKOUT0","5.050","5","NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[0];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[1];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[2];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[3];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[4]_inv","NVP_PHYSICAL_FRONTEND=5","FDCE=4;FDPE=1"
"FORMAL_PHASE2_FAIL_CONTROL","mmcm_fb","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKFBOUT","10.000","0","","",""
"FORMAL_PHASE2_FAIL_CONTROL","nvp_vclk1","vclk1","6.734","1737","CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[0];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[1];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[2];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[3];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[4]","CAPTURE_SUBSYSTEM=1648;NVP_PHYSICAL_FRONTEND=23;TOP=66","FDCE=4;FDPE=12;FDRE=1707;FDSE=4;IDDR=8;RAMB36E1=2"
"FORMAL_PHASE2_FAIL_CONTROL","pcie_refclk_100","sys_clk_p","10.000","9","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[31]_srl32;XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[63]_srl32;XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[94]_srl31;XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[95];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllreset_wait_reg[31]_srl32","XDMA=9","FDRE=2;SRLC32E=7"
"FORMAL_PHASE2_FAIL_CONTROL","txoutclk_x0y0","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i/TXOUTCLK","10.000","0","","",""
"FORMAL_PHASE2_FAIL_CONTROL","userclk1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT2","16.000","15119","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[0];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[1];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[2];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[3];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[4]","AXI_LITE_HOST_BRIDGE=110;CAPTURE_SUBSYSTEM=917;CONTROL_STATUS_REGS=65;NVP_AUTOINIT=748;TOP=605;XDMA=12674","FDCE=35;FDPE=44;FDRE=12863;FDSE=89;PCIE_2_1=1;RAMB18E1=1;RAMB36E1=21;RAMD32=1556;RAMS32=500;RAMS64E=8;SRL16E=1"
