range,formal_owner,formal_read,diagnostic_owner,collision,result
0x00000000-0x000000FF,v41_control_status_regs,implemented,v41_control_status_regs,no,PASS
0x00002200-0x00002228,reserved slot 2,zero,nvp_address_probe_regs,no,PASS
0x00010000-0x000100FF,preserved capture registers,implemented,preserved capture registers,no,PASS
0x00011000-0x00011FFF,slot-0 mirror,implemented,slot-0 mirror,no,PASS

