historical_event_ordinal,historical_scan_index,entry_index,bank,register,execution_group_index,execution_group_name,position_in_group,previous_bank_valid,previous_bank,bank_changed,context_source
1,7,71,0x08,0xF2,8,G5,1,1,0x07,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
2,16,52,0x06,0xF5,6,G3,4,1,0x05,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
3,23,52,0x06,0xF5,6,G3,4,1,0x05,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
4,28,5,0x00,0xB0,2,G0-LOCK,1,1,0x00,NO_SAME_BANK_RESELECT,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
5,36,62,0x07,0xF4,7,G4,3,1,0x06,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
6,38,38,0x05,0xF2,5,G2,1,1,0x01,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
7,38,59,0x07,0xF0,7,G4,0,1,0x06,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
8,42,63,0x07,0xF5,7,G4,4,1,0x06,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
9,58,62,0x07,0xF4,7,G4,3,1,0x06,YES,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
10,64,5,0x00,0xB0,2,G0-LOCK,1,1,0x00,NO_SAME_BANK_RESELECT,STATIC_MANIFEST_JOIN_NOT_RUNTIME_READBACK
