transaction,operation,group,bank,entry_index,register
1,READ_ENTRY_BANK,,,,0xFF
2,WRITE_SELECT_BANK,0,0x00,,0xFF
3,READ_VERIFY_BANK,0,0x00,,0xFF
4,READ_MANIFEST_ENTRY,0,0x00,0,0xA8
5,WRITE_SELECT_BANK,1,0x00,,0xFF
6,READ_VERIFY_BANK,1,0x00,,0xFF
7,READ_MANIFEST_ENTRY,1,0x00,1,0xF4
8,READ_MANIFEST_ENTRY,1,0x00,2,0xF5
9,READ_MANIFEST_ENTRY,1,0x00,3,0x80
10,WRITE_SELECT_BANK,2,0x00,,0xFF
11,READ_VERIFY_BANK,2,0x00,,0xFF
12,READ_MANIFEST_ENTRY,2,0x00,4,0xA8
13,READ_MANIFEST_ENTRY,2,0x00,5,0xB0
14,READ_MANIFEST_ENTRY,2,0x00,6,0xE0
15,READ_MANIFEST_ENTRY,2,0x00,7,0xE1
16,READ_MANIFEST_ENTRY,2,0x00,8,0xE2
17,READ_MANIFEST_ENTRY,2,0x00,9,0x7A
18,READ_MANIFEST_ENTRY,2,0x00,10,0x7B
19,WRITE_SELECT_BANK,3,0x00,,0xFF
20,READ_VERIFY_BANK,3,0x00,,0xFF
21,READ_MANIFEST_ENTRY,3,0x00,11,0xE8
22,READ_MANIFEST_ENTRY,3,0x00,12,0x81
23,READ_MANIFEST_ENTRY,3,0x00,13,0x85
24,READ_MANIFEST_ENTRY,3,0x00,14,0x23
25,READ_MANIFEST_ENTRY,3,0x00,15,0xE9
26,READ_MANIFEST_ENTRY,3,0x00,16,0x82
27,READ_MANIFEST_ENTRY,3,0x00,17,0x86
28,READ_MANIFEST_ENTRY,3,0x00,18,0x27
29,READ_MANIFEST_ENTRY,3,0x00,19,0xEA
30,READ_MANIFEST_ENTRY,3,0x00,20,0x83
31,READ_MANIFEST_ENTRY,3,0x00,21,0x87
32,READ_MANIFEST_ENTRY,3,0x00,22,0x2B
33,READ_MANIFEST_ENTRY,3,0x00,23,0xEB
34,READ_MANIFEST_ENTRY,3,0x00,24,0x84
35,READ_MANIFEST_ENTRY,3,0x00,25,0x88
36,READ_MANIFEST_ENTRY,3,0x00,26,0x2F
37,WRITE_SELECT_BANK,4,0x01,,0xFF
38,READ_VERIFY_BANK,4,0x01,,0xFF
39,READ_MANIFEST_ENTRY,4,0x01,27,0x97
40,READ_MANIFEST_ENTRY,4,0x01,28,0x98
41,READ_MANIFEST_ENTRY,4,0x01,29,0x84
42,READ_MANIFEST_ENTRY,4,0x01,30,0x8C
43,READ_MANIFEST_ENTRY,4,0x01,31,0x85
44,READ_MANIFEST_ENTRY,4,0x01,32,0x8D
45,READ_MANIFEST_ENTRY,4,0x01,33,0x86
46,READ_MANIFEST_ENTRY,4,0x01,34,0x8E
47,READ_MANIFEST_ENTRY,4,0x01,35,0x87
48,READ_MANIFEST_ENTRY,4,0x01,36,0x8F
49,WRITE_SELECT_BANK,5,0x05,,0xFF
50,READ_VERIFY_BANK,5,0x05,,0xFF
51,READ_MANIFEST_ENTRY,5,0x05,37,0xF0
52,READ_MANIFEST_ENTRY,5,0x05,38,0xF2
53,READ_MANIFEST_ENTRY,5,0x05,39,0xF3
54,READ_MANIFEST_ENTRY,5,0x05,40,0xF4
55,READ_MANIFEST_ENTRY,5,0x05,41,0xF5
56,READ_MANIFEST_ENTRY,5,0x05,42,0xE2
57,READ_MANIFEST_ENTRY,5,0x05,43,0xE3
58,READ_MANIFEST_ENTRY,5,0x05,44,0xE8
59,READ_MANIFEST_ENTRY,5,0x05,45,0xE9
60,READ_MANIFEST_ENTRY,5,0x05,46,0xEA
61,READ_MANIFEST_ENTRY,5,0x05,47,0xEB
62,WRITE_SELECT_BANK,6,0x06,,0xFF
63,READ_VERIFY_BANK,6,0x06,,0xFF
64,READ_MANIFEST_ENTRY,6,0x06,48,0xF0
65,READ_MANIFEST_ENTRY,6,0x06,49,0xF2
66,READ_MANIFEST_ENTRY,6,0x06,50,0xF3
67,READ_MANIFEST_ENTRY,6,0x06,51,0xF4
68,READ_MANIFEST_ENTRY,6,0x06,52,0xF5
69,READ_MANIFEST_ENTRY,6,0x06,53,0xE2
70,READ_MANIFEST_ENTRY,6,0x06,54,0xE3
71,READ_MANIFEST_ENTRY,6,0x06,55,0xE8
72,READ_MANIFEST_ENTRY,6,0x06,56,0xE9
73,READ_MANIFEST_ENTRY,6,0x06,57,0xEA
74,READ_MANIFEST_ENTRY,6,0x06,58,0xEB
75,WRITE_SELECT_BANK,7,0x07,,0xFF
76,READ_VERIFY_BANK,7,0x07,,0xFF
77,READ_MANIFEST_ENTRY,7,0x07,59,0xF0
78,READ_MANIFEST_ENTRY,7,0x07,60,0xF2
79,READ_MANIFEST_ENTRY,7,0x07,61,0xF3
80,READ_MANIFEST_ENTRY,7,0x07,62,0xF4
81,READ_MANIFEST_ENTRY,7,0x07,63,0xF5
82,READ_MANIFEST_ENTRY,7,0x07,64,0xE2
83,READ_MANIFEST_ENTRY,7,0x07,65,0xE3
84,READ_MANIFEST_ENTRY,7,0x07,66,0xE8
85,READ_MANIFEST_ENTRY,7,0x07,67,0xE9
86,READ_MANIFEST_ENTRY,7,0x07,68,0xEA
