group_index,name,bank,first_entry,count,last_entry,previous_bank_valid,previous_bank,bank_changed
0,G0-PRE,0x00,0,1,0,0,,NO_PREDECESSOR
1,G0-ID,0x00,1,3,3,1,0x00,NO_SAME_BANK_RESELECT
2,G0-LOCK,0x00,4,7,10,1,0x00,NO_SAME_BANK_RESELECT
3,G0-CH,0x00,11,16,26,1,0x00,NO_SAME_BANK_RESELECT
4,G1,0x01,27,10,36,1,0x00,YES
5,G2,0x05,37,11,47,1,0x01,YES
6,G3,0x06,48,11,58,1,0x05,YES
7,G4,0x07,59,11,69,1,0x06,YES
8,G5,0x08,70,11,80,1,0x07,YES
9,G0-POST,0x00,81,1,81,1,0x08,YES
