stage,reference_lut,failed_parent_lut,candidate_lut,delta_vs_reference,delta_vs_failed_parent,hard_limit,headroom
post_opt,19574,21446,20186,612,-1260,20384,198
routed,NA,NA,19738,NA,NA,20384,646
