device_role,device_path,dynamic_index,bdf,proof_status,reason
user,N/A,N/A,N/A,NOT_REACHED,R3R1_AUTHORIZATION_CONFLICT_WITH_FROZEN_C2H_SESSION_START_CONTRACT
c2h,N/A,N/A,N/A,NOT_REACHED,R3R1_AUTHORIZATION_CONFLICT_WITH_FROZEN_C2H_SESSION_START_CONTRACT
