fixture,target_count,expected,actual,result
A,1,PASS,PASS,PASS
B,1,PASS,PASS,PASS
C,1,FAIL_OLD_TARGET_NOT_SELECTED,FAIL_OLD_TARGET_NOT_SELECTED,PASS
D,1,FAIL_NEAR_MATCH,FAIL_NEAR_MATCH,PASS
E,1,FAIL_NEAR_MATCH,FAIL_NEAR_MATCH,PASS
F,2,FAIL_TARGET_COUNT_NOT_ONE,FAIL_TARGET_COUNT_NOT_ONE,PASS
G,2,FAIL_DUPLICATE,FAIL_DUPLICATE,PASS
H,0,FAIL_NO_TARGET,FAIL_NO_TARGET,PASS
