"IMAGE_ROLE","RAW_SUPPLY_NAME","NORMALIZED_SUPPLY_CLASS","VOLTAGE_V","ESTIMATED_CURRENT_A","ESTIMATED_POWER_W","STATIC_OR_DYNAMIC_IF_REPORTED","RAW_CURRENT_TOKEN","CURRENT_REPORT_RESOLUTION_A","POWER_REPORT_RESOLUTION_W","REPORT_SECTION","REPORT_CONFIDENCE","ACTIVITY_BASIS","POWER_METHOD","SOURCE_FILE","SOURCE_LINE_OR_TABLE"
"FORMAL_PHASE2_FAIL_CONTROL","Vccint","VCCINT","1.000","0.172000","0.172000","TOTAL","0.172","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 91"
"FORMAL_PHASE2_FAIL_CONTROL","Vccint","VCCINT","1.000","0.161000","0.161000","DYNAMIC","0.161","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 91"
"FORMAL_PHASE2_FAIL_CONTROL","Vccint","VCCINT","1.000","0.011000","0.011000","STATIC","0.011","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 91"
"FORMAL_PHASE2_FAIL_CONTROL","Vccaux","VCCAUX","1.800","0.153000","0.275400","TOTAL","0.153","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 92"
"FORMAL_PHASE2_FAIL_CONTROL","Vccaux","VCCAUX","1.800","0.140000","0.252000","DYNAMIC","0.140","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 92"
"FORMAL_PHASE2_FAIL_CONTROL","Vccaux","VCCAUX","1.800","0.013000","0.023400","STATIC","0.013","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 92"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco33","AGGREGATE_VCCO33","3.300","0.001000","0.003300","TOTAL","0.001","0.001000","0.003300","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 93"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco33","AGGREGATE_VCCO33","3.300","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.003300","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 93"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco33","AGGREGATE_VCCO33","3.300","0.001000","0.003300","STATIC","0.001","0.001000","0.003300","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 93"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco25","OTHER_VCCO_CLASS","2.500","0.000000","0.000000","TOTAL","0.000","0.001000","0.002500","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 94"
