"IMAGE_ROLE","RAW_CLOCK_NAME","SOURCE_PIN_OR_PORT","PERIOD_NS","FREQUENCY_MHZ","FANOUT","CLOCK_NETWORK_POWER_W","CONFIDENCE","ACTIVITY_BASIS","REPORT_SECTION","DEPTH","IS_SUMMARY_ROOT","NORMALIZED_DOMAIN","POWER_VALUE_W","POWER_LOWER_BOUND_W","POWER_UPPER_BOUND_EXCLUSIVE_W","REPORT_RESOLUTION_W","SOURCE_FILE","SOURCE_LINE"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFCLK_IBUF","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","2","0.000","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.000000","0.000000","0.000000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","274"
"FORMAL_PHASE2_FAIL_CONTROL","sys_clk_p","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","1","0.000","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.000000","0.000000","0.000000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","275"
"FORMAL_PHASE2_FAIL_CONTROL","sys_clk_p_IBUF","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","1","0.000","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.000000","0.000000","0.000000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","276"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/cpllpd_refclk_inst","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","9","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","277"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gt_cpllpdrefclk","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","9","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","278"
"FORMAL_PHASE2_FAIL_CONTROL","vclk1","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","6.734007","148.500000","1741","0.007","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","NVP_VIDEO","0.007000","0.007000","0.007000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","279"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/nvp_clk","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","1729","0.007","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.007000","0.007000","0.007000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","280"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/u_vclk1_bufg","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","1729","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","281"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/u_vclk1_bufio","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","8","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","282"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/vclk1_ibuf","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","3","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","283"
