SessionID,ResetAttempted,ResetAcknowledged,ResetResult,EpochBefore,EpochAfter,EpochDelta,AvailabilityClassification,CaptureEligible
1,True,True,PASS,3,4,1,BT656_READY_PRE_RESET_AND_POST_RESET,True
2,True,True,PASS,5,6,1,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False
3,True,True,PASS,6,7,1,BT656_READY_PRE_RESET_AND_POST_RESET,True
