SessionID,Round,Channel,AssignedBGDCOL,BGDCOLCode,BGDCOL78,BGDCOL79,ReadbackResult
1,1,1,RED,0x6,0x46,0x13,PASS
2,1,2,GREEN,0x4,0x46,0x13,PASS
3,1,3,CYAN,0x3,0x46,0x13,PASS
