SessionID,FrameSequence,RawFrameSHA256,PNG_SHA256,FrameReconstruction,GovernedQualification,PixelsPublished
1,539896,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446,PASS,PASS,NO
3,539995,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,PASS,FAIL,NO
