SessionID,AssignedBGDCOL,PixelClassification,BGDCOLMatch
1,RED,UNIFORM_BGDCOL_RED,PASS
2,GREEN,NOT_RUN_CLOCK_PRESENT_NO_SAV,NOT_RUN
3,CYAN,NOT_REACHED,NOT_REACHED_STRUCTURAL_FAILURE
