Channel,ObservedRounds,StatusRepeatability,RouteRepeatability,BGDCOLResponse,AvailabilityConclusion
CH1,1,NOT_ENOUGH_VALID_OBSERVATIONS,NOT_ENOUGH_VALID_OBSERVATIONS,PROVEN_SINGLE_COLOR,NOT_ENOUGH_VALID_OBSERVATIONS
CH2,1,NOT_ENOUGH_VALID_OBSERVATIONS,NOT_ENOUGH_VALID_OBSERVATIONS,NOT_TESTED_NO_BT656,NOT_ENOUGH_VALID_OBSERVATIONS
CH3,1,NOT_ENOUGH_VALID_OBSERVATIONS,NOT_ENOUGH_VALID_OBSERVATIONS,NOT_REACHED,NOT_ENOUGH_VALID_OBSERVATIONS
CH4,0,NOT_ENOUGH_VALID_OBSERVATIONS,NOT_ENOUGH_VALID_OBSERVATIONS,NOT_REACHED,NOT_ENOUGH_VALID_OBSERVATIONS
