SessionID,AvailabilityClassification,CaptureEligible,CaptureAttempted,DMACompletionResult,StructuralValidation,FinalCaptureResult,SessionObservationResult,PhysicalQuiescence
1,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,PASS,PASS,PASS_CAPTURE_COMPLETED,PASS
2,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN,NOT_RUN,PASS_NO_BT656_CAPTURE_NOT_RUN,PASS
3,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,FAIL,FAIL,FAIL_STARTED_CAPTURE_STRUCTURAL_GATE,PASS
