Channel,ValidObservations,AvailabilityAcrossRounds,CapturesAttempted,CapturesPassed,BGDCOLColorsCaptured,ActiveCameraCaptures,BGDCOLPixelPath
CH1,1,NOT_ENOUGH_VALID_OBSERVATIONS,1,1,1,0,PROVEN_SINGLE_COLOR
CH2,1,NOT_ENOUGH_VALID_OBSERVATIONS,0,0,0,0,NOT_TESTED_NO_BT656
CH3,1,NOT_ENOUGH_VALID_OBSERVATIONS,1,0,0,0,NOT_REACHED
CH4,0,NOT_ENOUGH_VALID_OBSERVATIONS,0,0,0,0,NOT_REACHED
