SessionID,FirmwareResponseRaw,FirmwareAdvanceAck,HostCaptureResult,Purpose
1,0x00010009,PASS_AND_QUIESCENT,PASS,ADVANCE_AFTER_CAPTURE_PASS
2,0x00020009,PASS_AND_QUIESCENT,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION
3,0x0003000A,FAIL_RESPONSE_SAFE_RESTORE,FAIL,FAIL_RESPONSE_TRIGGERED_SAFE_RESTORE
