SessionID,ExactCompletions,Bytes,Short,Failed,Duplicate,Missing,Pending,DisableLatencyUs,RecordIntegrityFailures,GlobalSequenceGaps,AttemptSequenceGaps,OverflowRecords,MalformedPrecedingRecords,SourceDroppedDelta,Line0,SOF,FrameReconstruction,UnexpectedSourceCaptureSequenceGaps,FinalResult
1,2500,10240000,0,0,0,0,0,467.134,0,0,0,0,0,0,True,True,PASS,0,PASS
3,2500,10240000,0,0,0,0,0,76.542,0,0,0,0,0,0,True,True,PASS,2,FAIL
