Point,TransactionCount,NACK,Timeout,Recovery
CLEAR_C0,0,0,0,0
PREPARE_A_C1,26,0,0,0
PREPARE_B_C2,52,0,0,0
SESSION_01_SNAPSHOT,87,0,0,0
SESSION_02_SNAPSHOT,117,0,0,0
SESSION_03_SNAPSHOT,147,0,0,0
