SessionID,Phase,RequestedDurationMs,ElapsedMs,VCLKDelta,VCLKRate,SAVDelta,SAVRate,VCLKPerSAV,SourceReady,SourceLocked,SourceFatal,TransportFatal,NVPFatal,MMIOCounterConsistent,SourceMalformedDelta,SourceDroppedDelta,Qualified
1,PRE_RESET,250.0,250.509,37181920,148425322.775102,7043,28114.727489,5279.273037,True,True,False,False,False,True,0,0,True
1,POST_RESET_SHORT,250.0,250.506,37188573,148453899.690750,7045,28123.093707,5278.718666,True,True,False,False,False,True,0,0,True
2,PRE_RESET,250.0,250.429,37170425,148426881.918491,0,0.000000,NOT_REACHED,True,False,False,False,False,True,0,0,False
2,POST_RESET_SHORT,250.0,250.614,37203976,148451030.368490,0,0.000000,NOT_REACHED,True,False,False,False,False,True,0,0,False
2,POST_RESET_EXTENDED,1500.0,1500.521,222818723,148494203.697857,0,0.000000,NOT_REACHED,True,False,False,False,False,True,0,0,False
3,PRE_RESET,250.0,250.57,37194610,148440261.615856,7045,28115.945915,5279.575586,True,True,False,False,False,True,0,0,True
3,POST_RESET_SHORT,250.0,250.451,37175800,148435427.239212,7042,28117.277331,5279.153650,True,True,False,False,False,True,0,0,True
