candidate,source_commit,source_tree,first_gate,result,post_opt_lut,limit_lut,routed_lut,bitstream
1,57c92ec0d3dd97feb967371d765ed3bbe627b550,NOT_RESTATED,SYNTH_TOP_WIDTH,FAIL,NONE,20384,NONE,NONE
2,98d4d214c1219b29a60dc1a33af13e91fe33d27c,1c43ee847bc468408f574125e3e37209cbb27d54,POST_OPT_LUT,FAIL,23774,20384,NONE,NONE
3,70266f0b90c6fc6a853495eba1d526b285fd7286,5f2bd8377985406b45433418b20be8993399bcb6,POST_OPT_LUT,FAIL,20456,20384,NONE,NONE
4,9ce74cd76ac33b3d37cde0bced7326a2c31fa0f1,f7da5163e29477e5c773fce43d657e2a6726cb6e,POST_OPT_LUT,FAIL,20540,20384,NONE,NONE
