Group,Slot,Family,Constraint_Type,Source_Count,Destination_Count,Required_ns,Actual_Worst_ns,Slack_ns,Runtime_s,Result,Reference_Actual_ns,Difference_ns,Notes
15,1,RELEASE_SLOT1_NORMAL_STATE_TRANSITION,MAX_DELAY_DATAPATH_ONLY,56,3,6.000,5.548,0.528,25.722,PASS,5.548,0.0,Fresh committed active XDC
15,1,RELEASE_SLOT1_MISMATCH_CONTAINMENT,MAX_DELAY_DATAPATH_ONLY,56,4,6.000,5.576,0.456,1.66,PASS,5.576,0.0,Fresh committed active XDC
15,1,RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING,MAX_DELAY_DATAPATH_ONLY,56,3,6.000,4.338,1.692,0.067,PASS,4.338,0.0,Fresh committed active XDC
16,2,RELEASE_SLOT2_NORMAL_STATE_TRANSITION,MAX_DELAY_DATAPATH_ONLY,56,3,6.000,5.473,0.559,0.067,PASS,5.473,0.0,Fresh committed active XDC
16,2,RELEASE_SLOT2_MISMATCH_CONTAINMENT,MAX_DELAY_DATAPATH_ONLY,56,4,6.000,5.772,0.260,0.077,PASS,5.772,0.0,Fresh committed active XDC
16,2,RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING,MAX_DELAY_DATAPATH_ONLY,56,3,6.000,4.480,1.550,0.069,PASS,4.480,0.0,Fresh committed active XDC
17,3,RELEASE_SLOT3_NORMAL_STATE_TRANSITION,MAX_DELAY_DATAPATH_ONLY,56,3,6.000,5.515,0.557,0.065,PASS,5.515,0.0,Fresh committed active XDC
17,3,RELEASE_SLOT3_MISMATCH_CONTAINMENT,MAX_DELAY_DATAPATH_ONLY,56,4,6.000,5.729,0.303,0.067,PASS,5.729,0.0,Fresh committed active XDC
17,3,RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING,MAX_DELAY_DATAPATH_ONLY,56,3,6.000,4.585,1.445,0.067,PASS,4.585,0.0,Fresh committed active XDC
