metric,parent_authority,candidate2_measured,delta,limit,gate_status
post_synth_slice_luts,,25372,,20800,DIAGNOSTIC_OVER_DEVICE_CAPACITY
post_opt_slice_luts,20186,23774,3588,20384,FAIL_EXCESS_3390
post_opt_lut_as_logic,,22450,,20800,FAIL_OVER_DEVICE_CAPACITY
post_opt_lut_as_memory,,1324,,9600,MEASURED
post_opt_flip_flops,,26807,,41600,MEASURED
post_opt_ramb36e1,,27,,50,MEASURED
post_opt_ramb18e1,,4,,100,MEASURED
post_opt_block_ram_tiles,,29,,50,MEASURED
post_opt_dsp,,0,,90,MEASURED
routed_slice_luts,,NOT_REACHED,,20384,NOT_REACHED
